source	target	weight
h1SMcG0020741	h1SMcG0008878	0.83519095
h1SMcG0003130	h1SMnG0010430	0.835191
h1SMcG0010789	h1SMcG0008239	0.8351914
h1SMcG0004888	h1SMcG0006269	0.83519155
h1SMcG0001098	h1SMcG0008293	0.83519167
h1SMcG0011310	h1SMcG0017076	0.8351918
h1SMcG0010076	h1SMcG0005555	0.8351921
h1SMcG0017602	h1SMcG0020745	0.83519226
h1SMcG0001750	h1SMcG0020248	0.83519274
h1SMcG0006548	h1SMcG0003163	0.8351931
h1SMcG0017995	h1SMnG0014454	0.8351935
h1SMcG0020592	h1SMcG0004411	0.8351938
h1SMcG0017995	h1SMnG0019931	0.835195
h1SMcG0021295	h1SMcG0015404	0.8351964
h1SMcG0017995	h1SMnG0030201	0.8351981
h1SMcG0001750	h1SMnG0032561	0.8351984
h1SMcG0009963	h1SMcG0021604	0.83519876
h1SMcG0007933	h1SMcG0001940	0.8351989
h1SMcG0017653	h1SMcG0009603	0.83520144
h1SMcG0020741	h1SMcG0012039	0.8352016
h1SMcG0020741	h1SMcG0000906	0.83520246
h1SMcG0006042	h1SMcG0016319	0.83520293
h1SMcG0022918	h1SMcG0006644	0.83520484
h1SMcG0017602	h1SMcG0017839	0.8352052
h1SMcG0010609	h1SMcG0021278	0.83520544
h1SMcG0020741	h1SMcG0002126	0.8352064
h1SMcG0009686	h1SMcG0019095	0.8352069
h1SMcG0006261	h1SMcG0022583	0.8352069
h1SMcG0004816	h1SMcG0003097	0.8352081
h1SMcG0006347	h1SMcG0008498	0.83520824
h1SMcG0006042	h1SMcG0006210	0.8352086
h1SMcG0018872	h1SMcG0007437	0.8352098
h1SMcG0015422	h1SMnG0024207	0.8352105
h1SMcG0006042	h1SMcG0009176	0.8352107
h1SMcG0020741	h1SMcG0002391	0.8352111
h1SMcG0022624	h1SMcG0012116	0.8352118
h1SMcG0001098	h1SMnG0007521	0.8352123
h1SMcG0010076	h1SMcG0016098	0.83521235
h1SMcG0008833	h1SMnG0005146	0.8352128
h1SMcG0019233	h1SMcG0009705	0.8352132
h1SMcG0016703	h1SMcG0015404	0.83521366
h1SMcG0008246	h1SMnG0017441	0.835214
