source	target	weight
h1SMcG0020760	h1SMcG0019710	0.834758
h1SMcG0011310	h1SMcG0010236	0.83475906
h1SMcG0016956	h1SMcG0020643	0.83475906
h1SMcG0007325	h1SMcG0020037	0.8347594
h1SMcG0017602	h1SMcG0014704	0.83475953
h1SMcG0015422	h1SMcG0016584	0.8347605
h1SMcG0019233	h1SMnG0012393	0.8347607
h1SMcG0020144	h1SMcG0013849	0.8347619
h1SMcG0010076	h1SMcG0004809	0.8347625
h1SMcG0010990	h1SMcG0002380	0.83476293
h1SMcG0011310	h1SMcG0011843	0.834763
h1SMcG0003298	h1SMcG0022061	0.8347647
h1SMcG0006666	h1SMcG0020991	0.834765
h1SMcG0020144	h1SMcG0017748	0.83476543
h1SMcG0010789	h1SMcG0009304	0.83476543
h1SMcG0017602	h1SMnG0002509	0.8347666
h1SMcG0001531	h1SMcG0002373	0.8347672
h1SMcG0007329	h1SMcG0000960	0.8347676
h1SMcG0011688	h1SMnG0034761	0.8347676
h1SMcG0023128	h1SMcG0015658	0.83476835
h1SMcG0006375	h1SMcG0014664	0.83477086
h1SMcG0006347	h1SMnG0027916	0.83477175
h1SMcG0010220	h1SMcG0013641	0.83477217
h1SMcG0011310	h1SMcG0006235	0.83477306
h1SMcG0011844	h1SMnG0032657	0.83477324
h1SMcG0023128	h1SMcG0022032	0.8347733
h1SMcG0009686	h1SMnG0014452	0.8347736
h1SMcG0015422	h1SMcG0008239	0.83477384
h1SMcG0006375	h1SMcG0008792	0.83477384
h1SMcG0006347	h1SMcG0021139	0.83477455
h1SMcG0016956	h1SMcG0009047	0.83477545
h1SMcG0004816	h1SMcG0013897	0.8347767
h1SMcG0007325	h1SMcG0007387	0.83477736
h1SMcG0001180	h1SMcG0005001	0.8347775
h1SMcG0023128	h1SMnG0015084	0.83477753
h1SMcG0000656	h1SMcG0017774	0.8347776
h1SMcG0009963	h1SMnG0003236	0.83477765
h1SMcG0016956	h1SMnG0007408	0.83477765
h1SMcG0009963	h1SMnG0028630	0.83477813
h1SMcG0001180	h1SMcG0000294	0.8347783
h1SMcG0006508	h1SMcG0021741	0.8347791
h1SMcG0000656	h1SMcG0022558	0.83478147
h1SMcG0015294	h1SMcG0004373	0.8347845
h1SMcG0013179	h1SMcG0017188	0.83478457
h1SMcG0009963	h1SMcG0009630	0.83478576
h1SMcG0011844	h1SMnG0017276	0.83478636
h1SMcG0001531	h1SMcG0000975	0.8347867
h1SMcG0011310	h1SMcG0006326	0.8347867
h1SMcG0006042	h1SMcG0013020	0.8347869
h1SMcG0017602	h1SMcG0022449	0.8347875
h1SMcG0015294	h1SMcG0015577	0.83478886
h1SMcG0010220	h1SMcG0019152	0.8347891
h1SMcG0016956	h1SMcG0004921	0.8347893
h1SMcG0001531	h1SMnG0022389	0.83478963
h1SMcG0010789	h1SMcG0002059	0.8347924
h1SMcG0010220	h1SMcG0005824	0.83479244
h1SMcG0020592	h1SMcG0014095	0.8347929
h1SMcG0009686	h1SMcG0020605	0.8347931
h1SMcG0015422	h1SMcG0011920	0.8347932
h1SMcG0017602	h1SMcG0015551	0.83479327
