source	target	weight
h1SMcG0023128	h1SMnG0015494	0.83868206
h1SMcG0006375	h1SMcG0002457	0.8386826
h1SMcG0006042	h1SMnG0021315	0.8386831
h1SMcG0011606	h1SMcG0000719	0.83868486
h1SMcG0015294	h1SMnG0008237	0.83868486
h1SMcG0006042	h1SMcG0007000	0.8386853
h1SMcG0011310	h1SMcG0012015	0.8386859
h1SMcG0015294	h1SMcG0004373	0.8386862
h1SMcG0006635	h1SMnG0025866	0.8386869
h1SMcG0001963	h1SMcG0020120	0.8386872
h1SMcG0011606	h1SMcG0022520	0.8386872
h1SMcG0006375	h1SMnG0004345	0.83868736
h1SMcG0020144	h1SMcG0013300	0.83868986
h1SMcG0010122	h1SMcG0021055	0.83869
h1SMcG0011310	h1SMcG0006363	0.8386903
h1SMcG0007329	h1SMcG0006281	0.8386907
h1SMcG0001963	h1SMcG0013512	0.83869255
h1SMcG0020191	h1SMcG0018997	0.8386928
h1SMcG0017602	h1SMcG0001898	0.83869326
h1SMcG0009686	h1SMcG0002949	0.83869344
h1SMcG0006666	h1SMnG0016171	0.83869386
h1SMcG0009963	h1SMcG0013415	0.8386943
h1SMcG0006281	h1SMcG0015020	0.83869463
h1SMcG0010609	h1SMcG0021559	0.83869475
h1SMcG0003130	h1SMcG0017181	0.83869493
h1SMcG0001531	h1SMcG0014837	0.8386951
h1SMcG0001098	h1SMnG0034881	0.8386955
h1SMcG0016703	h1SMnG0000361	0.8386961
h1SMcG0004476	h1SMnG0031062	0.8386962
h1SMcG0006375	h1SMnG0021791	0.8386963
h1SMcG0006281	h1SMnG0013239	0.838697
h1SMcG0010707	h1SMcG0009921	0.8386971
h1SMcG0015595	h1SMcG0011536	0.83869714
h1SMcG0011535	h1SMcG0005300	0.83869857
h1SMcG0001531	h1SMcG0003260	0.8386996
h1SMcG0015343	h1SMcG0017175	0.83870107
h1SMcG0013730	h1SMcG0007202	0.8387014
h1SMcG0015343	h1SMcG0019629	0.8387015
h1SMcG0008373	h1SMcG0019973	0.83870155
h1SMcG0004476	h1SMcG0014906	0.8387026
h1SMcG0015294	h1SMcG0009111	0.8387029
h1SMcG0020144	h1SMcG0009630	0.8387031
h1SMcG0006635	h1SMcG0022136	0.83870476
h1SMcG0001098	h1SMcG0013199	0.8387056
h1SMcG0011606	h1SMcG0006044	0.8387056
h1SMcG0006375	h1SMcG0004846	0.83870673
h1SMcG0001098	h1SMcG0015745	0.83870703
h1SMcG0013730	h1SMcG0015605	0.8387079
h1SMcG0007329	h1SMnG0011993	0.83870894
h1SMcG0013730	h1SMcG0009493	0.8387095
h1SMcG0010707	h1SMcG0006754	0.8387095
h1SMcG0006635	h1SMcG0001273	0.8387103
h1SMcG0020191	h1SMcG0013919	0.8387104
h1SMcG0006375	h1SMcG0015936	0.8387105
h1SMcG0001531	h1SMcG0001994	0.8387118
h1SMcG0011606	h1SMcG0001947	0.83871204
h1SMcG0006635	h1SMcG0018901	0.83871216
h1SMcG0010412	h1SMcG0004473	0.8387124
h1SMcG0002696	h1SMcG0007810	0.8387124
h1SMcG0016730	h1SMcG0008283	0.83871406
h1SMcG0016730	h1SMcG0013968	0.83871454
h1SMcG0006375	h1SMnG0014226	0.8387148
h1SMcG0015343	h1SMcG0002890	0.8387149
h1SMcG0010990	h1SMcG0000909	0.83871496
h1SMcG0006375	h1SMcG0022381	0.83871573
h1SMcG0004687	h1SMcG0021421	0.8387163
h1SMcG0010412	h1SMcG0016388	0.8387164
h1SMcG0010990	h1SMnG0014707	0.83871657
h1SMcG0006281	h1SMcG0006232	0.8387173
h1SMcG0020144	h1SMcG0014941	0.8387175
h1SMcG0008373	h1SMcG0002138	0.8387176
h1SMcG0006281	h1SMcG0011016	0.83871883
h1SMcG0010789	h1SMcG0018484	0.83871937
h1SMcG0001180	h1SMcG0018474	0.83872026
h1SMcG0015422	h1SMcG0011266	0.8387214
h1SMcG0010789	h1SMnG0030748	0.83872163
h1SMcG0004816	h1SMcG0009129	0.8387218
h1SMcG0004476	h1SMcG0014895	0.8387225
h1SMcG0015430	h1SMnG0015587	0.8387229
h1SMcG0006281	h1SMcG0016487	0.83872306
h1SMcG0020191	h1SMcG0005514	0.8387233
h1SMcG0015422	h1SMcG0011768	0.83872473
h1SMcG0018400	h1SMcG0016568	0.8387249
h1SMcG0013730	h1SMnG0019745	0.83872515
h1SMcG0020592	h1SMcG0009588	0.83872575
h1SMcG0008373	h1SMnG0035558	0.83872604
h1SMcG0020144	h1SMcG0018085	0.8387266
h1SMcG0023128	h1SMcG0002196	0.8387267
h1SMcG0001180	h1SMnG0016991	0.83872676
h1SMcG0006375	h1SMcG0021164	0.83872694
h1SMcG0010122	h1SMcG0022605	0.838728
h1SMcG0015294	h1SMcG0015278	0.8387293
h1SMcG0011310	h1SMcG0020750	0.8387298
h1SMcG0006042	h1SMcG0009790	0.83872986
h1SMcG0006042	h1SMnG0028799	0.83873075
h1SMcG0011606	h1SMnG0023462	0.83873117
h1SMcG0003130	h1SMnG0011128	0.8387318
h1SMcG0015294	h1SMcG0016524	0.838732
h1SMcG0011606	h1SMnG0013323	0.8387324
h1SMcG0013730	h1SMcG0020590	0.83873254
h1SMcG0020191	h1SMcG0010323	0.83873284
h1SMcG0015343	h1SMcG0019470	0.8387333
h1SMcG0015422	h1SMnG0001796	0.8387334
h1SMcG0004476	h1SMcG0017176	0.8387341
h1SMcG0010122	h1SMnG0028577	0.83873487
h1SMcG0020592	h1SMcG0003207	0.838735
h1SMcG0001531	h1SMnG0015255	0.8387356
h1SMcG0016703	h1SMnG0034725	0.8387367
h1SMcG0006042	h1SMcG0016251	0.8387368
h1SMcG0006347	h1SMcG0006318	0.83873695
h1SMcG0015422	h1SMcG0018014	0.838737
h1SMcG0016730	h1SMcG0005250	0.8387381
h1SMcG0006375	h1SMcG0010539	0.83873814
h1SMcG0007329	h1SMcG0007322	0.83873844
h1SMcG0007329	h1SMcG0022343	0.8387388
h1SMcG0010609	h1SMnG0026713	0.83873886
h1SMcG0000971	h1SMcG0013737	0.83873945
h1SMcG0006635	h1SMcG0020136	0.83873945
h1SMcG0009963	h1SMnG0006997	0.8387397
h1SMcG0001098	h1SMcG0014436	0.83873975
h1SMcG0006375	h1SMcG0011819	0.83874
h1SMcG0020191	h1SMcG0011854	0.83874005
h1SMcG0004816	h1SMnG0012552	0.8387406
h1SMcG0018400	h1SMcG0013035	0.83874065
h1SMcG0022769	h1SMcG0022137	0.83874154
h1SMcG0006042	h1SMnG0019586	0.838742
h1SMcG0013730	h1SMcG0022409	0.8387421
h1SMcG0011606	h1SMcG0003118	0.8387435
h1SMcG0015430	h1SMcG0015505	0.83874446
h1SMcG0023128	h1SMcG0010193	0.8387446
h1SMcG0015343	h1SMcG0022596	0.83874464
h1SMcG0020191	h1SMcG0007173	0.83874494
h1SMcG0020191	h1SMcG0006235	0.8387473
h1SMcG0018400	h1SMcG0009013	0.8387496
h1SMcG0020191	h1SMcG0000896	0.83875024
h1SMcG0011606	h1SMcG0020211	0.8387504
h1SMcG0011606	h1SMcG0007154	0.8387507
h1SMcG0001098	h1SMcG0009509	0.8387516
h1SMcG0000971	h1SMcG0001866	0.838752
h1SMcG0017602	h1SMcG0015183	0.83875275
h1SMcG0001963	h1SMcG0006190	0.8387561
h1SMcG0004816	h1SMcG0009078	0.83875644
h1SMcG0008373	h1SMcG0020592	0.83875704
h1SMcG0011606	h1SMnG0014197	0.8387583
h1SMcG0004476	h1SMcG0018483	0.83875847
h1SMcG0009963	h1SMcG0007822	0.83875966
h1SMcG0010190	h1SMcG0004924	0.83875966
h1SMcG0017602	h1SMcG0020956	0.83875984
h1SMcG0015422	h1SMcG0018631	0.8387606
h1SMcG0006281	h1SMnG0011845	0.83876085
h1SMcG0001098	h1SMcG0004949	0.83876103
h1SMcG0001531	h1SMnG0014622	0.8387618
h1SMcG0015430	h1SMcG0005620	0.8387634
h1SMcG0015422	h1SMcG0022539	0.8387635
h1SMcG0003685	h1SMcG0003233	0.83876354
h1SMcG0017097	h1SMnG0004708	0.8387636
h1SMcG0010789	h1SMcG0020795	0.83876383
h1SMcG0010990	h1SMcG0001946	0.8387641
h1SMcG0001098	h1SMcG0022567	0.8387641
h1SMcG0006347	h1SMcG0007078	0.8387643
h1SMcG0011606	h1SMnG0029247	0.83876455
h1SMcG0020191	h1SMcG0007202	0.8387647
h1SMcG0015422	h1SMcG0004788	0.83876514
h1SMcG0006042	h1SMcG0020579	0.83876526
h1SMcG0010707	h1SMcG0022349	0.83876586
h1SMcG0011606	h1SMnG0022052	0.83876604
h1SMcG0010412	h1SMcG0016993	0.8387665
h1SMcG0000079	h1SMnG0032488	0.8387683
h1SMcG0011606	h1SMnG0023833	0.8387688
h1SMcG0010190	h1SMcG0019181	0.8387691
h1SMcG0003130	h1SMcG0013914	0.83876926
h1SMcG0004816	h1SMcG0015056	0.8387698
h1SMcG0006375	h1SMnG0030846	0.8387707
h1SMcG0001180	h1SMnG0023463	0.83877105
h1SMcG0023128	h1SMcG0021914	0.8387717
h1SMcG0011535	h1SMcG0015598	0.83877206
h1SMcG0008373	h1SMcG0001283	0.8387732
h1SMcG0004687	h1SMcG0022348	0.838774
