factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0011606	0.9999999999999999	6323.510160632548	6320.228571867458	0.9999999999999999	3.28158876508921	0.88	7453	3.28158876508921
h1SMcG0017602	0.9743589743589743	5350.950187545841	5348.281005623215	0.9743589743589743	2.66918192262618	0.76	5329	2.66918192262618
h1SMcG0015422	0.9487179487179487	5007.654477355421	5005.141897349435	0.923076923076923	2.51258000598601	0.6799999999999999	3440	2.51258000598601
h1SMcG0015343	0.923076923076923	3719.3453455269096	3716.2447351623578	0.6923076923076923	3.1006103645518	0.7999999999999999	1303	3.1006103645518
h1SMcG0004816	0.8974358974358974	4601.898466829408	4600.275009464937	0.8974358974358974	1.62345736447028	0.52	3316	1.62345736447028
h1SMcG0010122	0.8717948717948717	1971.016205319382	1967.843584075763	0.41025641025641024	3.17262124361905	0.84	434	3.17262124361905
h1SMcG0003882	0.8461538461538461	1118.4813887321568	1113.482327594991	0.23076923076923075	4.99906113716599	1.0	232	4.99906113716599
h1SMcG0009963	0.8205128205128205	4128.281400886371	4127.019578075351	0.7948717948717948	1.26182281101918	0.36000000000000004	4885	1.26182281101918
h1SMcG0016703	0.7948717948717948	3613.3580754794834	3611.793173436943	0.6666666666666666	1.56490204254041	0.48000000000000004	1465	1.56490204254041
h1SMcG0015294	0.7692307692307692	3605.1996782962715	3603.67555429201	0.641025641025641	1.52412400426149	0.44	1396	1.52412400426149
h1SMcG0013730	0.7435897435897435	3335.489090040503	3333.553813964352	0.5128205128205128	1.93527607615142	0.5599999999999999	783	1.93527607615142
h1SMcG0000287	0.717948717948718	312.2100936394348	307.776872179909	0.10256410256410256	4.43322145952577	0.96	131	4.43322145952577
h1SMcG0003685	0.6923076923076923	93.32352917885075	89.88572088246755	0.05128205128205129	3.4378082963832	0.9199999999999999	28	3.4378082963832
h1SMcG0007329	0.6666666666666666	4376.32508908823	4375.713183922127	0.8717948717948717	0.611905166103033	0.07999999999999999	2504	0.611905166103033
h1SMcG0011310	0.641025641025641	5019.103710314132	5019.103710314132	0.9487179487179487	0.0	0.0	4873	0.185618519420693
h1SMcG0010412	0.6153846153846153	3185.4115011940094	3183.960546240181	0.4615384615384615	1.45095495382823	0.4	457	1.45095495382823
h1SMcG0004476	0.5897435897435898	4230.996094683492	4230.996094683492	0.8461538461538461	0.0	0.0	2005	0.316019085625008
h1SMcG0001531	0.5641025641025641	4186.697112908552	4186.697112908552	0.8205128205128205	0.0	0.0	1915	0.132135993892412
h1SMcG0015430	0.5384615384615384	515.5280475044475	513.2621810506929	0.15384615384615385	2.26586645375464	0.64	244	2.26586645375464
h1SMcG0006375	0.5128205128205128	4126.983822137732	4126.983822137732	0.7692307692307692	0.0	0.0	2203	0.448712498901299
h1SMcG0023128	0.4871794871794871	2753.081385093267	2752.031301946085	0.43589743589743585	1.05008314718157	0.32	2094	1.05008314718157
h1SMcG0007325	0.4615384615384615	3939.39084570202	3939.39084570202	0.7435897435897435	0.0	0.0	1444	0.273883333802929
h1SMcG0010990	0.43589743589743585	3453.146440484211	3452.399384144285	0.5641025641025641	0.747056339926032	0.16	1041	0.747056339926032
h1SMcG0006465	0.41025641025641024	28.44890301602404	25.92000198333501	0.0	2.52890103268903	0.72	13	2.52890103268903
h1SMcG0006281	0.3846153846153846	3795.198922773188	3795.198922773188	0.717948717948718	0.0	0.0	1376	0.545806249394656
h1SMcG0018284	0.3589743589743589	279.8414464817517	277.6756721737769	0.07692307692307693	2.1657743079748	0.6	118	2.1657743079748
h1SMcG0001098	0.3333333333333333	3572.6401578188147	3572.202095879733	0.5897435897435898	0.438061939081817	0.04	1149	0.438061939081817
h1SMcG0010609	0.30769230769230765	3575.117005097659	3575.117005097659	0.6153846153846153	0.0	0.0	1208	0.413309746196559
h1SMcG0000971	0.28205128205128205	1413.5408948253137	1412.5747820502083	0.3589743589743589	0.96611277510527	0.24000000000000002	438	0.96611277510527
h1SMcG0019233	0.2564102564102564	3350.325761255427	3350.325761255427	0.5384615384615384	0.0	0.0	807	0.286409918358122
h1SMcG0006666	0.23076923076923075	1114.6612475416425	1113.6476498693771	0.2564102564102564	1.01359767226546	0.28	241	1.01359767226546
h1SMcG0008373	0.20512820512820512	3253.874384280643	3253.874384280643	0.4871794871794871	0.0	0.0	682	0.369526329333349
h1SMcG0000079	0.1794871794871795	1129.7516391726183	1128.9570518313258	0.28205128205128205	0.794587341292431	0.19999999999999998	238	0.794587341292431
h1SMcG0006347	0.15384615384615385	1770.459722392105	1770.459722392105	0.3846153846153846	0.0	0.0	425	0.657216264888877
h1SMcG0016730	0.12820512820512822	1238.0485419378522	1238.0485419378522	0.3333333333333333	0.0	0.0	308	0.616218732172874
h1SMcG0010789	0.10256410256410256	1212.512288246768	1212.512288246768	0.30769230769230765	0.0	0.0	266	0.210371424839829
h1SMcG0015595	0.07692307692307693	1072.6158901771166	1072.6158901771166	0.20512820512820512	0.0	0.0	157	0.495005305438595
h1SMcG0004687	0.05128205128205129	639.2988317749333	639.2988317749333	0.1794871794871795	0.0	0.0	147	0.13830769696762
h1SMcG0003269	0.02564102564102564	50.73383799471298	50.0622707518624	0.02564102564102564	0.671567242850581	0.12	12	0.671567242850581
h1SMcG0006508	0.0	481.4258221576454	481.4258221576454	0.12820512820512822	0.0	0.0	134	0.196070949009209
