source	target	weight
h1SMcG0023128	h1SMnG0001226	0.841202
h1SMcG0003298	h1SMcG0018548	0.8412022
h1SMcG0020144	h1SMcG0016104	0.8412035
h1SMcG0009686	h1SMcG0021333	0.8412036
h1SMcG0011844	h1SMcG0019235	0.84120363
h1SMcG0006347	h1SMnG0032741	0.84120506
h1SMcG0006347	h1SMcG0018671	0.84120697
h1SMcG0007329	h1SMcG0013035	0.841207
h1SMcG0021496	h1SMcG0018957	0.8412073
h1SMcG0011310	h1SMcG0019791	0.84120744
h1SMcG0020191	h1SMcG0010797	0.8412089
h1SMcG0020144	h1SMcG0008713	0.84120893
h1SMcG0020144	h1SMnG0014380	0.8412099
h1SMcG0004816	h1SMnG0032762	0.84121066
h1SMcG0015294	h1SMcG0009919	0.8412113
h1SMcG0006375	h1SMcG0013592	0.8412116
h1SMcG0010609	h1SMcG0014762	0.8412117
h1SMcG0020592	h1SMcG0004853	0.84121305
h1SMcG0013179	h1SMcG0018746	0.0010997999999999841
h1SMcG0017602	h1SMnG0002083	0.84121406
h1SMcG0010220	h1SMcG0009717	0.84121406
h1SMcG0009686	h1SMcG0008209	0.84121424
h1SMcG0013177	h1SMcG0015477	0.84121436
h1SMcG0020144	h1SMcG0004135	0.8412151
h1SMcG0020760	h1SMcG0009563	0.84121567
h1SMcG0022918	h1SMcG0001134	0.8412158
h1SMcG0006347	h1SMcG0003192	0.8412164
h1SMcG0011844	h1SMnG0018662	0.8412182
h1SMcG0011310	h1SMnG0003415	0.84121865
h1SMcG0017653	h1SMcG0005824	0.841219
h1SMcG0011310	h1SMnG0031146	0.84121937
h1SMcG0009963	h1SMcG0016384	0.8412196
h1SMcG0007933	h1SMcG0018886	0.8412203
h1SMcG0006347	h1SMnG0015537	0.8412209
h1SMcG0010076	h1SMcG0000188	0.84122115
h1SMcG0023128	h1SMnG0020921	0.84122133
h1SMcG0013177	h1SMcG0013352	0.84122145
h1SMcG0004888	h1SMcG0006438	0.8412237
h1SMcG0010220	h1SMcG0022405	0.8412238
h1SMcG0007329	h1SMcG0018962	0.8412241
h1SMcG0019233	h1SMcG0008670	0.84122413
h1SMcG0020741	h1SMcG0012608	0.8412248
h1SMcG0020741	h1SMcG0006875	0.84122497
h1SMcG0020191	h1SMcG0020697	0.8412257
h1SMcG0009686	h1SMcG0014327	0.8412263
h1SMcG0008373	h1SMcG0015804	0.8412269
h1SMcG0013179	h1SMnG0032138	0.84122825
h1SMcG0006375	h1SMcG0008003	0.84122837
h1SMcG0011844	h1SMnG0032328	0.8412289
h1SMcG0015422	h1SMcG0013773	0.84122926
h1SMcG0009686	h1SMcG0016776	0.8412298
h1SMcG0003298	h1SMcG0022577	0.84123
h1SMcG0011844	h1SMcG0000494	0.84123087
h1SMcG0013177	h1SMcG0021077	0.841231
h1SMcG0015595	h1SMcG0016532	0.84123105
h1SMcG0008246	h1SMnG0021332	0.8412316
h1SMcG0011844	h1SMnG0031149	0.84123224
h1SMcG0022918	h1SMcG0017631	0.8412323
h1SMcG0011844	h1SMcG0015808	0.8412327
h1SMcG0017602	h1SMnG0014583	0.8412329
h1SMcG0006375	h1SMcG0015495	0.8412334
h1SMcG0013177	h1SMcG0014857	0.8412335
h1SMcG0006042	h1SMcG0008795	0.8412339
h1SMcG0011844	h1SMcG0011827	0.84123427
h1SMcG0019233	h1SMcG0020647	0.84123474
h1SMcG0006193	h1SMcG0022641	0.841235
h1SMcG0006042	h1SMcG0019570	0.8412359
h1SMcG0008441	h1SMcG0012037	0.8412363
h1SMcG0011310	h1SMcG0019511	0.8412375
h1SMcG0020741	h1SMcG0004106	0.84123814
h1SMcG0019688	h1SMcG0021815	0.84123963
h1SMcG0006375	h1SMcG0021134	0.8412406
h1SMcG0009686	h1SMcG0010710	0.84124064
h1SMcG0017602	h1SMcG0009154	0.8412415
h1SMcG0009273	h1SMcG0009354	0.84124196
h1SMcG0023128	h1SMnG0013641	0.8412421
h1SMcG0006347	h1SMnG0024376	0.84124213
