source	target	weight
h1SMcG0010707	h1SMcG0017837	0.8467056
h1SMcG0019688	h1SMcG0022424	0.8467057
h1SMcG0006548	h1SMcG0015803	0.84670705
h1SMcG0015422	h1SMcG0019913	0.8467075
h1SMcG0015294	h1SMcG0018881	0.84670776
h1SMcG0006666	h1SMcG0001441	0.84670776
h1SMcG0000267	h1SMnG0020701	0.8467087
h1SMcG0006281	h1SMcG0021919	0.846709
h1SMcG0006042	h1SMcG0008582	0.84670913
h1SMcG0006666	h1SMnG0014719	0.84670913
h1SMcG0018872	h1SMcG0009353	0.8467092
h1SMcG0009686	h1SMnG0015894	0.8467105
h1SMcG0006508	h1SMcG0014812	0.8467106
h1SMcG0017602	h1SMcG0002221	0.8467108
h1SMcG0008373	h1SMcG0016579	0.8467113
h1SMcG0006281	h1SMcG0019267	0.8467114
h1SMcG0018872	h1SMcG0007933	0.84671295
h1SMcG0009686	h1SMnG0002405	0.8467141
h1SMcG0006508	h1SMcG0010602	0.84671414
h1SMcG0006375	h1SMcG0018760	0.8467143
h1SMcG0006508	h1SMcG0007585	0.84671736
h1SMcG0006635	h1SMnG0027949	0.84671867
h1SMcG0020144	h1SMcG0019516	0.846719
h1SMcG0003882	h1SMcG0000897	0.84671915
h1SMcG0008246	h1SMcG0004818	0.8467193
h1SMcG0003269	h1SMcG0020988	0.8467194
h1SMcG0003269	h1SMnG0030124	0.8467197
h1SMcG0008246	h1SMcG0014693	0.846721
h1SMcG0003130	h1SMcG0011121	0.000280379999999969
h1SMcG0015294	h1SMcG0013550	0.0044152000000000635
h1SMcG0020144	h1SMcG0010841	0.84672177
h1SMcG0006508	h1SMcG0016922	0.846722
h1SMcG0006548	h1SMnG0014583	0.84672225
h1SMcG0019688	h1SMnG0005433	0.84672236
h1SMcG0004687	h1SMcG0013586	0.005154899999999962
h1SMcG0006666	h1SMcG0020810	0.84672505
h1SMcG0006042	h1SMcG0022038	0.84672517
h1SMcG0020144	h1SMcG0022606	0.8467256
h1SMcG0009686	h1SMcG0022056	0.8467275
h1SMcG0010609	h1SMcG0007826	0.8467282
h1SMcG0006548	h1SMcG0009496	0.84672827
h1SMcG0019688	h1SMcG0013447	0.8467288
h1SMcG0004687	h1SMcG0002120	0.84672886
h1SMcG0007325	h1SMcG0002804	0.84673023
h1SMcG0006375	h1SMcG0006987	0.84673065
h1SMcG0010609	h1SMcG0019422	0.8467307
h1SMcG0009686	h1SMcG0016485	0.84673077
h1SMcG0017602	h1SMcG0022299	0.846731
h1SMcG0006666	h1SMcG0020579	0.8467327
h1SMcG0006347	h1SMnG0014408	0.84673303
h1SMcG0017995	h1SMnG0006997	0.84673345
h1SMcG0023128	h1SMnG0003471	0.84673417
h1SMcG0016730	h1SMnG0004780	0.8467342
h1SMcG0009686	h1SMcG0020823	0.84673434
h1SMcG0006375	h1SMnG0032975	0.846735
h1SMcG0014619	h1SMcG0013585	0.84673584
h1SMcG0017602	h1SMcG0017097	0.84673595
h1SMcG0001531	h1SMnG0015536	0.84673667
h1SMcG0018872	h1SMcG0019754	0.8467367
h1SMcG0006281	h1SMcG0013573	0.84674233
h1SMcG0011310	h1SMcG0015571	0.8467446
h1SMcG0010707	h1SMcG0022525	0.84674466
h1SMcG0015294	h1SMnG0026718	0.8467456
h1SMcG0009686	h1SMcG0022497	0.8467463
h1SMcG0020592	h1SMcG0009436	0.8467464
h1SMcG0014619	h1SMcG0020575	0.8467467
h1SMcG0011844	h1SMcG0020752	0.84674674
h1SMcG0019688	h1SMnG0033402	0.84674793
h1SMcG0006508	h1SMcG0019538	0.8467484
h1SMcG0006508	h1SMcG0011439	0.8467489
h1SMcG0006548	h1SMcG0005082	0.8467497
h1SMcG0006281	h1SMcG0013805	0.00017675999999999803
h1SMcG0006508	h1SMcG0010783	0.0007714699999999963
h1SMcG0010412	h1SMcG0008018	0.84675074
h1SMcG0003269	h1SMcG0007069	0.84675103
h1SMcG0000267	h1SMcG0022633	0.8467512
h1SMcG0019799	h1SMnG0009042	0.8467514
h1SMcG0006347	h1SMcG0017665	0.84675205
h1SMcG0006375	h1SMcG0018752	0.8467521
h1SMcG0020592	h1SMcG0012006	0.8467523
h1SMcG0015294	h1SMcG0009201	0.0058651000000000675
h1SMcG0008373	h1SMcG0022538	0.8467535
h1SMcG0020144	h1SMcG0010913	0.84675366
h1SMcG0011844	h1SMcG0000858	0.8467538
h1SMcG0006635	h1SMcG0019375	0.8467554
h1SMcG0009686	h1SMcG0000866	0.8467554
h1SMcG0011654	h1SMnG0004540	0.8467554
h1SMcG0020144	h1SMcG0010035	0.8467563
h1SMcG0015294	h1SMcG0020735	0.8467564
h1SMcG0017602	h1SMcG0018053	0.84675765
h1SMcG0011310	h1SMnG0029237	0.8467579
h1SMcG0000971	h1SMcG0013608	0.8467595
h1SMcG0006666	h1SMcG0018205	0.84675956
h1SMcG0006281	h1SMcG0020913	0.84676087
h1SMcG0011654	h1SMnG0027047	0.846761
h1SMcG0008373	h1SMcG0020852	0.8467614
h1SMcG0011310	h1SMcG0006070	0.84676147
h1SMcG0006347	h1SMcG0013054	0.8467617
h1SMcG0000267	h1SMnG0002830	0.8467623
h1SMcG0006375	h1SMcG0001630	0.8467625
h1SMcG0000971	h1SMcG0018699	0.8467629
h1SMcG0008246	h1SMcG0002221	0.8467641
h1SMcG0016956	h1SMcG0020446	0.8467642
h1SMcG0006635	h1SMnG0030595	0.8467652
h1SMcG0009686	h1SMcG0020493	0.8467667
h1SMcG0019688	h1SMcG0018827	0.8467678
h1SMcG0000267	h1SMcG0000564	0.8467682
h1SMcG0001531	h1SMcG0001385	0.8467684
h1SMcG0010990	h1SMnG0005146	0.8467699
h1SMcG0016956	h1SMcG0019471	0.84677005
h1SMcG0006281	h1SMcG0000361	0.8467714
h1SMcG0006281	h1SMcG0008881	0.8467717
h1SMcG0017602	h1SMnG0014460	0.8467722
h1SMcG0000267	h1SMcG0007382	0.8467724
h1SMcG0000267	h1SMcG0021073	0.8467748
h1SMcG0006508	h1SMnG0009262	0.8467752
h1SMcG0019688	h1SMnG0012792	0.84677535
h1SMcG0006042	h1SMnG0026800	0.8467756
h1SMcG0011844	h1SMcG0019428	0.8467768
h1SMcG0006375	h1SMcG0004961	0.8467777
h1SMcG0009963	h1SMnG0028925	0.84677786
h1SMcG0017995	h1SMcG0009401	0.8467801
h1SMcG0014619	h1SMcG0006830	0.8467809
h1SMcG0013166	h1SMcG0020484	0.84678125
h1SMcG0006375	h1SMcG0022621	0.84678125
h1SMcG0017602	h1SMnG0009328	0.84678185
h1SMcG0015422	h1SMcG0020618	0.8467821
h1SMcG0015422	h1SMcG0017987	0.84678257
h1SMcG0019688	h1SMcG0010520	0.84678376
h1SMcG0015422	h1SMcG0020247	0.8467839
h1SMcG0000079	h1SMcG0022151	0.84678406
h1SMcG0006347	h1SMcG0004972	0.84678435
h1SMcG0015294	h1SMcG0006773	0.8467849
h1SMcG0019233	h1SMcG0010015	0.84678644
h1SMcG0019688	h1SMnG0006068	0.8467866
h1SMcG0006347	h1SMcG0000295	0.8467868
h1SMcG0006508	h1SMnG0017227	0.846787
h1SMcG0015422	h1SMcG0006917	0.8467871
h1SMcG0017602	h1SMnG0032667	0.84678817
h1SMcG0017602	h1SMnG0032549	0.84678906
h1SMcG0017602	h1SMcG0014941	0.84678924
h1SMcG0001531	h1SMcG0020177	0.8467899
h1SMcG0019688	h1SMnG0020591	0.8467901
h1SMcG0006375	h1SMcG0019799	0.8467907
h1SMcG0004687	h1SMcG0013897	0.846791
h1SMcG0007329	h1SMcG0019138	0.8467912
h1SMcG0016730	h1SMcG0002086	0.84679157
h1SMcG0010789	h1SMcG0004938	0.8467916
h1SMcG0011310	h1SMcG0013722	0.8467925
h1SMcG0019233	h1SMnG0002084	0.8467933
h1SMcG0018872	h1SMcG0020030	0.8467941
h1SMcG0009686	h1SMcG0004442	0.8467944
h1SMcG0006375	h1SMcG0013727	0.846795
h1SMcG0006548	h1SMcG0018768	0.846795
h1SMcG0008373	h1SMcG0007404	0.8467955
h1SMcG0006666	h1SMcG0007131	0.8467958
h1SMcG0006635	h1SMcG0017806	0.84679586
h1SMcG0007325	h1SMcG0018534	0.846796
h1SMcG0003269	h1SMcG0001466	0.84679615
h1SMcG0010990	h1SMcG0012539	0.84679765
h1SMcG0006548	h1SMcG0015174	0.84679794
h1SMcG0015422	h1SMcG0014711	0.8467984
h1SMcG0017602	h1SMnG0031101	0.84679866
