source	target	weight
h1SMcG0011844	h1SMcG0020159	0.84083706
h1SMcG0009963	h1SMnG0003806	0.8408374
h1SMcG0013178	h1SMcG0022295	0.84083784
h1SMcG0006042	h1SMcG0009798	0.840838
h1SMcG0006375	h1SMcG0022598	0.84083945
h1SMcG0020144	h1SMcG0007202	0.84084064
h1SMcG0010220	h1SMcG0014655	0.8408411
h1SMcG0017995	h1SMnG0013752	0.8408429
h1SMcG0017995	h1SMnG0030778	0.8408456
h1SMcG0004816	h1SMcG0008448	0.84084576
h1SMcG0017602	h1SMcG0008716	0.84084666
h1SMcG0011556	h1SMcG0018196	0.8408469
h1SMcG0007325	h1SMcG0017955	0.84084725
h1SMcG0006042	h1SMcG0003518	0.8408474
h1SMcG0010412	h1SMcG0017015	0.84084904
h1SMcG0016956	h1SMcG0019962	0.84084934
h1SMcG0009686	h1SMcG0014350	0.8408496
h1SMcG0018872	h1SMcG0020270	0.84084976
h1SMcG0016472	h1SMcG0018658	0.84085035
h1SMcG0010990	h1SMcG0015551	0.84085107
h1SMcG0016472	h1SMcG0018577	0.8408515
h1SMcG0004695	h1SMnG0034694	0.84085315
h1SMcG0009963	h1SMnG0013517	0.84085387
h1SMcG0010609	h1SMcG0005999	0.840854
h1SMcG0020144	h1SMcG0015778	0.840855
h1SMcG0011844	h1SMcG0003784	0.84085554
h1SMcG0020760	h1SMcG0004962	0.8408564
h1SMcG0004476	h1SMnG0032297	0.8408565
h1SMcG0006347	h1SMcG0006078	0.8408569
h1SMcG0010220	h1SMcG0008755	0.8408571
h1SMcG0023128	h1SMcG0007905	0.8408591
h1SMcG0017602	h1SMnG0029233	0.84086
h1SMcG0008373	h1SMcG0014788	0.84086007
h1SMcG0009686	h1SMcG0021868	0.8408605
h1SMcG0017602	h1SMnG0021806	0.8408606
h1SMcG0016703	h1SMcG0013774	0.84086126
h1SMcG0017602	h1SMcG0020116	0.8408613
h1SMcG0017995	h1SMnG0028197	0.8408619
h1SMcG0017602	h1SMcG0015426	0.8408629
h1SMcG0017653	h1SMcG0021052	0.840863
h1SMcG0004687	h1SMnG0032552	0.8408661
h1SMcG0017602	h1SMcG0007038	0.8408669
h1SMcG0004888	h1SMcG0004180	0.840867
h1SMcG0001531	h1SMcG0010678	0.8408671
h1SMcG0010412	h1SMnG0032905	0.840868
h1SMcG0020144	h1SMcG0004907	0.8408707
h1SMcG0006281	h1SMnG0034696	0.84087074
h1SMcG0008373	h1SMcG0012716	0.8408716
h1SMcG0008373	h1SMcG0009017	0.8408725
h1SMcG0009369	h1SMcG0009843	0.84087265
h1SMcG0001531	h1SMcG0003798	0.840873
h1SMcG0017995	h1SMcG0017929	0.8408738
h1SMcG0008246	h1SMcG0009095	0.8408744
h1SMcG0013177	h1SMcG0017076	0.8408746
h1SMcG0011310	h1SMcG0021060	0.84087497
h1SMcG0020144	h1SMnG0000117	0.840875
h1SMcG0011310	h1SMcG0010842	0.840875
h1SMcG0009963	h1SMcG0009915	0.8408755
h1SMcG0010707	h1SMcG0009334	0.840876
h1SMcG0017995	h1SMcG0002487	0.84087664
h1SMcG0008246	h1SMnG0034612	0.84087795
h1SMcG0001531	h1SMcG0009566	0.84087896
h1SMcG0019233	h1SMcG0010301	0.8408791
h1SMcG0006042	h1SMcG0019783	0.8408792
h1SMcG0019233	h1SMcG0017899	0.84087956
h1SMcG0010412	h1SMcG0020083	0.84088063
h1SMcG0004713	h1SMcG0020589	0.84088093
