source	target	weight
h1SMcG0021045	h1SMcG0018370	0.78583556
h1SMcG0020191	h1SMcG0020668	0.7858363
h1SMcG0014159	h1SMcG0017897	0.78583646
h1SMcG0009116	h1SMnG0021853	0.7858365
h1SMcG0014159	h1SMcG0009345	0.78583664
h1SMcG0006635	h1SMnG0031919	0.7858368
h1SMcG0021045	h1SMcG0006316	0.78583705
h1SMcG0000978	h1SMcG0021250	0.78583723
h1SMcG0020191	h1SMcG0011092	0.78583765
h1SMcG0006886	h1SMcG0017031	0.7858378
h1SMcG0010990	h1SMcG0006194	0.7858382
h1SMcG0010190	h1SMcG0005523	0.7858384
h1SMcG0003437	h1SMcG0019514	0.78583866
h1SMcG0011844	h1SMnG0028586	0.7858389
h1SMcG0016730	h1SMcG0014521	0.7858392
h1SMcG0006281	h1SMnG0007070	0.78583944
h1SMcG0006375	h1SMcG0011551	0.78584003
h1SMcG0011744	h1SMnG0026610	0.7858402
h1SMcG0005257	h1SMnG0032141	0.78584033
h1SMcG0015621	h1SMcG0005525	0.7858408
h1SMcG0007041	h1SMnG0034565	0.78584135
h1SMcG0008401	h1SMcG0009686	0.78584176
h1SMcG0007041	h1SMnG0031698	0.7858423
h1SMcG0013048	h1SMcG0008212	0.78584254
h1SMcG0016730	h1SMcG0010062	0.7858426
h1SMcG0018146	h1SMnG0033187	0.7858432
h1SMcG0007325	h1SMcG0013917	0.78584373
h1SMcG0020634	h1SMcG0020613	0.7858438
h1SMcG0021295	h1SMcG0017309	0.78584385
h1SMcG0018062	h1SMcG0022604	0.7858445
h1SMcG0022892	h1SMnG0004344	0.7858452
h1SMcG0000803	h1SMcG0003097	0.78584576
h1SMcG0016730	h1SMnG0025490	0.7858464
h1SMcG0009116	h1SMcG0015383	0.7858464
h1SMcG0007933	h1SMcG0009047	0.785847
h1SMcG0006886	h1SMcG0001206	0.7858471
h1SMcG0012543	h1SMcG0015901	0.78584725
h1SMcG0009116	h1SMcG0019231	0.78584737
h1SMcG0001531	h1SMcG0017393	0.7858475
h1SMcG0016730	h1SMnG0011401	0.78584754
h1SMcG0018146	h1SMcG0006091	0.7858477
h1SMcG0006261	h1SMcG0022061	0.7858478
h1SMcG0003437	h1SMcG0009353	0.7858482
h1SMcG0015294	h1SMcG0000253	0.7858483
h1SMcG0007933	h1SMnG0013142	0.7858485
h1SMcG0015621	h1SMcG0014430	0.78584886
h1SMcG0007933	h1SMcG0000746	0.7858493
h1SMcG0014159	h1SMcG0002595	0.78584933
h1SMcG0001396	h1SMcG0006897	0.78585005
h1SMcG0011535	h1SMnG0002476	0.78585017
h1SMcG0009117	h1SMcG0005030	0.7858506
h1SMcG0010860	h1SMnG0012429	0.7858507
h1SMcG0002214	h1SMcG0011704	0.78585124
h1SMcG0004695	h1SMcG0018232	0.7858513
h1SMcG0011535	h1SMnG0024151	0.7858514
h1SMcG0006281	h1SMcG0019598	0.7858515
h1SMcG0013730	h1SMcG0008802	0.7858515
h1SMcG0003437	h1SMcG0005539	0.78585184
h1SMcG0018146	h1SMnG0023323	0.7858519
h1SMcG0008441	h1SMcG0011755	0.78585225
h1SMcG0018146	h1SMnG0017227	0.7858525
h1SMcG0010789	h1SMcG0000613	0.785853
h1SMcG0004695	h1SMcG0004280	0.7858531
h1SMcG0008441	h1SMcG0014966	0.7858542
h1SMcG0001396	h1SMnG0034704	0.7858542
h1SMcG0010707	h1SMcG0022490	0.7858545
h1SMcG0014057	h1SMcG0020473	0.7858547
h1SMcG0011844	h1SMnG0001191	0.7858549
h1SMcG0020191	h1SMcG0020991	0.7858551
h1SMcG0006375	h1SMcG0018331	0.78585535
h1SMcG0000524	h1SMcG0007026	0.7858557
h1SMcG0023128	h1SMcG0006823	0.78585595
h1SMcG0010990	h1SMcG0008976	0.7858567
h1SMcG0004695	h1SMnG0011931	0.78585684
h1SMcG0020191	h1SMcG0006694	0.78585696
h1SMcG0020634	h1SMcG0000515	0.7858572
h1SMcG0016868	h1SMnG0001841	0.7858575
h1SMcG0003132	h1SMcG0013335	0.78585756
h1SMcG0023033	h1SMcG0013335	0.78585756
h1SMcG0009867	h1SMnG0013738	0.7858576
h1SMcG0009867	h1SMnG0011614	0.7858585
h1SMcG0003437	h1SMnG0032836	0.7858586
h1SMcG0011943	h1SMcG0003104	0.785859
h1SMcG0009867	h1SMnG0021022	0.7858599
h1SMcG0019068	h1SMcG0019767	0.78585994
h1SMcG0011535	h1SMnG0011128	0.7858603
h1SMcG0020634	h1SMcG0002783	0.78586054
h1SMcG0011535	h1SMcG0000263	0.78586054
h1SMcG0022768	h1SMcG0019514	0.7858609
h1SMcG0006261	h1SMnG0018123	0.7858612
h1SMcG0008408	h1SMcG0001775	0.7858617
h1SMcG0000524	h1SMcG0006239	0.78586286
h1SMcG0010789	h1SMcG0019941	0.78586304
h1SMcG0020709	h1SMnG0026283	0.78586304
h1SMcG0019799	h1SMcG0020403	0.7858631
h1SMcG0014159	h1SMcG0004379	0.7858633
h1SMcG0013730	h1SMnG0032658	0.78586334
h1SMcG0002214	h1SMcG0021833	0.7858634
h1SMcG0010190	h1SMcG0008355	0.78586346
h1SMcG0002143	h1SMcG0005845	0.78586376
h1SMcG0011744	h1SMcG0000488	0.7858643
h1SMcG0021045	h1SMcG0020873	0.78586435
h1SMcG0012678	h1SMcG0015154	0.78586435
h1SMcG0003298	h1SMcG0005610	0.7858648
h1SMcG0011535	h1SMcG0020569	0.78586507
h1SMcG0000079	h1SMcG0010658	0.78586537
h1SMcG0002214	h1SMnG0009350	0.7858654
h1SMcG0021045	h1SMcG0005190	0.7858655
h1SMcG0006281	h1SMcG0009683	0.7858656
h1SMcG0009116	h1SMcG0009459	0.7858659
h1SMcG0012446	h1SMcG0009647	0.7858676
h1SMcG0015294	h1SMnG0028594	0.78586763
h1SMcG0015294	h1SMcG0014886	0.7858679
h1SMcG0016868	h1SMcG0021955	0.78586805
h1SMcG0013048	h1SMnG0017953	0.7858682
h1SMcG0006635	h1SMcG0000355	0.7858682
h1SMcG0013048	h1SMnG0002420	0.7858684
h1SMcG0008401	h1SMcG0009022	0.78586847
h1SMcG0023033	h1SMcG0013894	0.7858685
h1SMcG0003132	h1SMcG0013894	0.7858685
h1SMcG0012678	h1SMcG0020645	0.7858687
h1SMcG0003298	h1SMnG0024979	0.7858689
h1SMcG0006347	h1SMcG0020849	0.785869
h1SMcG0008401	h1SMcG0005030	0.7858695
h1SMcG0004695	h1SMnG0032713	0.78586966
h1SMcG0011535	h1SMcG0010120	0.78586996
h1SMcG0013048	h1SMcG0003339	0.7858704
h1SMcG0020741	h1SMcG0022612	0.78587055
h1SMcG0012678	h1SMcG0012547	0.7858716
h1SMcG0001396	h1SMnG0009328	0.78587234
h1SMcG0015294	h1SMcG0007004	0.78587246
h1SMcG0010603	h1SMcG0012827	0.78587246
h1SMcG0006375	h1SMcG0001205	0.78587323
h1SMcG0000524	h1SMcG0000288	0.7858733
h1SMcG0013730	h1SMcG0012475	0.7858737
h1SMcG0007041	h1SMnG0018662	0.7858738
h1SMcG0015626	h1SMcG0021106	0.7858741
h1SMcG0016838	h1SMcG0021106	0.7858741
h1SMcG0013048	h1SMcG0021452	0.7858742
h1SMcG0018872	h1SMnG0012602	0.7858745
h1SMcG0001060	h1SMnG0022850	0.78587455
h1SMcG0021045	h1SMcG0000065	0.78587526
h1SMcG0007933	h1SMcG0016557	0.7858753
h1SMcG0013048	h1SMcG0021090	0.7858754
h1SMcG0006347	h1SMcG0016341	0.78587574
h1SMcG0012446	h1SMcG0018575	0.7858759
h1SMcG0022892	h1SMcG0019939	0.7858759
h1SMcG0020741	h1SMcG0020458	0.7858761
