source	target	weight
h1SMcG0009686	h1SMcG0017864	0.7898475
h1SMcG0005257	h1SMnG0015810	0.7898475
h1SMcG0000079	h1SMcG0008786	0.7898477
h1SMcG0012769	h1SMcG0015056	0.78984785
h1SMcG0000941	h1SMcG0015212	0.78984797
h1SMcG0005257	h1SMnG0032553	0.78984797
h1SMcG0012446	h1SMcG0014874	0.78984815
h1SMcG0008441	h1SMcG0009098	0.7898484
h1SMcG0009686	h1SMcG0003610	0.7898485
h1SMcG0012074	h1SMcG0020801	0.78984874
h1SMcG0006253	h1SMcG0011317	0.78984934
h1SMcG0005257	h1SMcG0015019	0.7898495
h1SMcG0002561	h1SMcG0016998	0.7898497
h1SMcG0016838	h1SMnG0008923	0.7898498
h1SMcG0021040	h1SMcG0013344	0.78985006
h1SMcG0010623	h1SMnG0034279	0.78985035
h1SMcG0001477	h1SMcG0005609	0.78985083
h1SMcG0011844	h1SMcG0013380	0.78985095
h1SMcG0004695	h1SMcG0017924	0.78985107
h1SMcG0015294	h1SMnG0015543	0.7898511
h1SMcG0003437	h1SMcG0000796	0.7898512
h1SMcG0003736	h1SMcG0007783	0.7898513
h1SMcG0002849	h1SMnG0013751	0.7898513
h1SMcG0022892	h1SMnG0013751	0.7898513
h1SMcG0004352	h1SMcG0004841	0.7898514
h1SMcG0004695	h1SMnG0031453	0.78985155
h1SMcG0003437	h1SMcG0000967	0.78985155
h1SMcG0000524	h1SMcG0000234	0.78985214
h1SMcG0018400	h1SMcG0011109	0.7898526
h1SMcG0010860	h1SMcG0007883	0.78985304
h1SMcG0014057	h1SMcG0014111	0.7898536
h1SMcG0010623	h1SMnG0034010	0.78985417
h1SMcG0001531	h1SMcG0001682	0.7898551
h1SMcG0014619	h1SMcG0011121	0.7898558
h1SMcG0012543	h1SMcG0013635	0.78985626
h1SMcG0006375	h1SMcG0005178	0.7898576
h1SMcG0006261	h1SMnG0005698	0.78985786
h1SMcG0008441	h1SMcG0013364	0.7898579
h1SMcG0006886	h1SMnG0019511	0.7898588
h1SMcG0000548	h1SMcG0014846	0.7898593
h1SMcG0003736	h1SMcG0022370	0.7898593
h1SMcG0015626	h1SMnG0035548	0.7898598
h1SMcG0004695	h1SMnG0035472	0.7898598
h1SMcG0003132	h1SMcG0009440	0.7898598
h1SMcG0014057	h1SMcG0004912	0.7898599
h1SMcG0003132	h1SMcG0006019	0.78986
h1SMcG0006347	h1SMcG0022528	0.78986096
h1SMcG0011844	h1SMcG0000762	0.789862
h1SMcG0011688	h1SMcG0001261	0.78986293
h1SMcG0002561	h1SMcG0010668	0.78986305
h1SMcG0009361	h1SMcG0002117	0.7898633
h1SMcG0012612	h1SMcG0015750	0.78986335
h1SMcG0008441	h1SMcG0009595	0.78986335
h1SMcG0012074	h1SMcG0022640	0.7898634
h1SMcG0007325	h1SMcG0022543	0.7898636
h1SMcG0013742	h1SMcG0013973	0.78986424
h1SMcG0006886	h1SMcG0018743	0.7898644
h1SMcG0008441	h1SMnG0029099	0.7898644
h1SMcG0011688	h1SMcG0007466	0.78986466
h1SMcG0000548	h1SMcG0019471	0.789865
h1SMcG0018062	h1SMcG0020587	0.7898652
h1SMcG0006253	h1SMcG0010092	0.78986555
h1SMcG0022711	h1SMcG0017837	0.78986615
h1SMcG0012022	h1SMcG0007797	0.78986645
h1SMcG0007041	h1SMcG0019812	0.7898669
h1SMcG0015621	h1SMcG0020090	0.789867
h1SMcG0007041	h1SMnG0006187	0.78986734
h1SMcG0004687	h1SMcG0010698	0.7898678
h1SMcG0006886	h1SMcG0009907	0.7898679
h1SMcG0007041	h1SMcG0010745	0.78986794
h1SMcG0013742	h1SMcG0001198	0.78986824
h1SMcG0011688	h1SMcG0021355	0.78986865
h1SMcG0011844	h1SMnG0001445	0.7898688
h1SMcG0016838	h1SMcG0019686	0.78986883
h1SMcG0023128	h1SMnG0017993	0.789869
h1SMcG0012769	h1SMnG0032103	0.7898691
h1SMcG0021040	h1SMcG0008490	0.7898693
h1SMcG0011943	h1SMcG0022401	0.78986937
h1SMcG0022892	h1SMcG0014903	0.7898695
h1SMcG0002849	h1SMcG0014903	0.7898695
