source	target	weight
h1SMcG0002214	h1SMcG0003422	0.79016095
h1SMcG0020456	h1SMcG0019077	0.79016113
h1SMcG0006635	h1SMcG0003859	0.7901614
h1SMcG0004687	h1SMcG0022104	0.7901614
h1SMcG0011535	h1SMnG0009881	0.7901618
h1SMcG0010990	h1SMcG0007286	0.79016185
h1SMcG0018836	h1SMcG0008319	0.79016316
h1SMcG0000079	h1SMcG0016885	0.7901632
h1SMcG0019258	h1SMcG0007204	0.790164
h1SMcG0006886	h1SMnG0032071	0.7901641
h1SMcG0003132	h1SMnG0031501	0.79016435
h1SMcG0016956	h1SMcG0020153	0.79016435
h1SMcG0011844	h1SMnG0030194	0.79016507
h1SMcG0020456	h1SMcG0020112	0.7901652
h1SMcG0010220	h1SMcG0007262	0.79016525
h1SMcG0021180	h1SMcG0022371	0.79016566
h1SMcG0021266	h1SMnG0033033	0.79016566
h1SMcG0003759	h1SMcG0018288	0.7901657
h1SMcG0012678	h1SMcG0015584	0.7901658
h1SMcG0001531	h1SMcG0013446	0.7901662
h1SMcG0001334	h1SMcG0022220	0.7901667
h1SMcG0011535	h1SMcG0005768	0.79016674
h1SMcG0002143	h1SMnG0017399	0.79016674
h1SMcG0002214	h1SMnG0024708	0.79016733
h1SMcG0018400	h1SMcG0020745	0.7901674
h1SMcG0016703	h1SMcG0022327	0.79016745
h1SMcG0006426	h1SMnG0000546	0.79016757
h1SMcG0016730	h1SMcG0019428	0.79016775
h1SMcG0021040	h1SMcG0017040	0.7901678
h1SMcG0021040	h1SMcG0004955	0.7901679
h1SMcG0016730	h1SMcG0001984	0.79016817
h1SMcG0020456	h1SMcG0003217	0.79016846
h1SMcG0010690	h1SMnG0014935	0.7901687
h1SMcG0011654	h1SMnG0015347	0.7901693
h1SMcG0011535	h1SMcG0011548	0.7901699
h1SMcG0003132	h1SMnG0028121	0.7901699
h1SMcG0000524	h1SMcG0017989	0.7901705
h1SMcG0003132	h1SMcG0016845	0.7901708
h1SMcG0010220	h1SMcG0020539	0.7901711
h1SMcG0012612	h1SMcG0009634	0.79017115
h1SMcG0001020	h1SMcG0014229	0.7901712
h1SMcG0000524	h1SMcG0010441	0.79017174
h1SMcG0018872	h1SMnG0019931	0.79017204
h1SMcG0006347	h1SMnG0031073	0.790173
h1SMcG0006426	h1SMnG0018322	0.79017335
h1SMcG0006679	h1SMcG0009587	0.7901734
h1SMcG0011844	h1SMcG0009186	0.79017377
h1SMcG0012645	h1SMcG0021937	0.7901742
h1SMcG0018836	h1SMcG0020322	0.7901742
h1SMcG0006635	h1SMcG0021085	0.79017425
h1SMcG0013730	h1SMcG0009481	0.7901743
h1SMcG0003132	h1SMnG0024085	0.7901744
h1SMcG0021916	h1SMnG0029861	0.7901744
h1SMcG0006886	h1SMnG0015458	0.79017466
h1SMcG0020492	h1SMcG0007504	0.79017484
h1SMcG0003793	h1SMnG0014886	0.79017484
h1SMcG0006886	h1SMnG0016204	0.79017544
h1SMcG0009116	h1SMnG0021653	0.79017556
h1SMcG0006635	h1SMcG0006377	0.79017586
h1SMcG0003298	h1SMcG0017677	0.79017603
h1SMcG0021266	h1SMcG0017115	0.79017603
h1SMcG0006886	h1SMcG0000327	0.79017615
h1SMcG0005292	h1SMcG0022406	0.7901762
h1SMcG0000524	h1SMcG0007722	0.79017633
h1SMcG0010190	h1SMcG0017357	0.7901764
h1SMcG0006347	h1SMcG0012891	0.7901765
h1SMcG0001162	h1SMcG0018535	0.79017675
h1SMcG0000282	h1SMnG0017019	0.7901769
h1SMcG0021266	h1SMcG0017988	0.7901771
h1SMcG0011844	h1SMcG0021502	0.79017717
h1SMcG0000803	h1SMcG0002381	0.79017806
h1SMcG0000548	h1SMcG0001983	0.7901781
h1SMcG0018836	h1SMnG0015535	0.7901782
h1SMcG0006426	h1SMcG0009760	0.79017824
h1SMcG0006886	h1SMnG0014071	0.79017836
h1SMcG0003793	h1SMcG0011376	0.7901786
h1SMcG0009369	h1SMnG0003527	0.79017913
h1SMcG0004476	h1SMnG0013950	0.7901793
h1SMcG0008401	h1SMcG0019498	0.7901801
h1SMcG0010190	h1SMcG0013231	0.7901801
h1SMcG0011016	h1SMcG0010904	0.79018027
h1SMcG0001531	h1SMnG0015545	0.7901804
h1SMcG0009963	h1SMnG0023433	0.7901809
h1SMcG0011844	h1SMcG0022353	0.7901812
h1SMcG0021266	h1SMcG0020721	0.79018164
h1SMcG0012543	h1SMcG0003785	0.79018176
h1SMcG0006375	h1SMcG0008559	0.79018205
h1SMcG0015595	h1SMnG0008592	0.7901821
h1SMcG0001531	h1SMcG0020071	0.7901821
h1SMcG0000285	h1SMcG0009012	0.7901826
h1SMcG0011016	h1SMcG0015051	0.79018337
h1SMcG0010220	h1SMcG0009702	0.79018366
h1SMcG0021295	h1SMcG0013299	0.79018366
h1SMcG0000524	h1SMnG0032851	0.79018384
h1SMcG0018836	h1SMcG0021104	0.7901841
h1SMcG0023128	h1SMcG0015610	0.7901842
h1SMcG0010707	h1SMcG0020695	0.7901845
h1SMcG0011844	h1SMcG0017734	0.79018456
h1SMcG0006261	h1SMcG0000226	0.7901853
h1SMcG0011016	h1SMcG0020930	0.7901853
h1SMcG0001722	h1SMnG0033236	0.79018605
h1SMcG0007933	h1SMcG0015123	0.79018617
h1SMcG0000548	h1SMcG0009791	0.79018617
h1SMcG0000282	h1SMcG0013670	0.79018617
h1SMcG0011654	h1SMcG0001395	0.7901862
h1SMcG0010220	h1SMcG0003502	0.79018635
h1SMcG0021724	h1SMcG0016741	0.7901864
h1SMcG0021295	h1SMcG0013492	0.79018664
h1SMcG0004476	h1SMcG0021219	0.79018706
h1SMcG0020557	h1SMcG0001535	0.7901873
h1SMcG0007933	h1SMnG0004450	0.79018736
h1SMcG0001334	h1SMcG0020247	0.7901881
h1SMcG0018836	h1SMcG0020930	0.79018813
h1SMcG0001554	h1SMcG0004252	0.79018813
h1SMcG0001020	h1SMcG0022554	0.7901883
h1SMcG0011844	h1SMcG0003852	0.7901884
h1SMcG0006886	h1SMnG0022519	0.79018843
h1SMcG0007041	h1SMcG0019398	0.790189
h1SMcG0010690	h1SMnG0009103	0.79018974
h1SMcG0000548	h1SMcG0015750	0.7901899
h1SMcG0000803	h1SMcG0002372	0.79019016
h1SMcG0011016	h1SMcG0022563	0.7901904
h1SMcG0001060	h1SMcG0019532	0.7901905
h1SMcG0006281	h1SMcG0004608	0.7901905
h1SMcG0004695	h1SMcG0016337	0.79019076
h1SMcG0012645	h1SMcG0020716	0.79019076
h1SMcG0002143	h1SMcG0000960	0.7901911
h1SMcG0006281	h1SMnG0034465	0.79019123
h1SMcG0021180	h1SMcG0012478	0.7901916
h1SMcG0003132	h1SMnG0012520	0.79019165
h1SMcG0020492	h1SMcG0015377	0.7901917
h1SMcG0006635	h1SMcG0010225	0.79019195
h1SMcG0003759	h1SMcG0015204	0.79019207
h1SMcG0016730	h1SMcG0009963	0.7901922
h1SMcG0000524	h1SMnG0016807	0.79019225
h1SMcG0010707	h1SMcG0015804	0.7901926
h1SMcG0015595	h1SMnG0030631	0.7901926
h1SMcG0011016	h1SMcG0017089	0.7901927
h1SMcG0000285	h1SMcG0008643	0.7901927
h1SMcG0021040	h1SMcG0008107	0.79019433
h1SMcG0002143	h1SMcG0010225	0.7901945
h1SMcG0013730	h1SMcG0001846	0.7901946
h1SMcG0000971	h1SMcG0000709	0.79019463
h1SMcG0021565	h1SMcG0000979	0.7901948
h1SMcG0004352	h1SMcG0018196	0.79019564
h1SMcG0006375	h1SMcG0021795	0.7901957
h1SMcG0011844	h1SMnG0020207	0.7901957
h1SMcG0011844	h1SMcG0010767	0.7901959
h1SMcG0004476	h1SMcG0013878	0.79019594
h1SMcG0010707	h1SMcG0016387	0.790196
h1SMcG0016956	h1SMcG0002034	0.790196
h1SMcG0001531	h1SMnG0003306	0.7901961
h1SMcG0001162	h1SMcG0001902	0.7901963
h1SMcG0007041	h1SMcG0022424	0.79019636
h1SMcG0021724	h1SMcG0014744	0.79019666
h1SMcG0010190	h1SMcG0022033	0.79019696
h1SMcG0003759	h1SMnG0016991	0.790197
h1SMcG0000971	h1SMcG0006253	0.7901974
