Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1 - illumina_universal_adapter	(1, 0.0003948290441738168)	(2, 0.0003948290441738168)	(3, 0.0003948290441738168)	(4, 0.0003948290441738168)	(5, 0.00041199552435528707)	(6, 0.00041199552435528707)	(7, 0.00041199552435528707)	(8, 0.00041199552435528707)	(9, 0.0004463284847182277)	(10, 0.00045491172480896286)	(12, 0.0004720782049904331)	(14, 0.0004978279252626386)	(16, 0.0004978279252626386)	(18, 0.0005064111653533738)	(20, 0.0005407441257163142)	(22, 0.0005493273658070494)	(24, 0.0005750770860792548)	(26, 0.0006008268063514604)	(28, 0.0006179932865329307)	(30, 0.0007038256874402822)	(32, 0.002308891584407755)	(34, 0.003913957481375227)	(36, 0.0040427060827362546)	(38, 0.004283036805276839)	(40, 0.004600616688634039)	(42, 0.004909613331900505)	(44, 0.005416024497253878)	(46, 0.006034017783786809)	(48, 0.006900925032951059)	(50, 0.008179827806470596)	(52, 0.009596062421441894)	(54, 0.011072379717048341)	(56, 0.01307227465818963)	(58, 0.0162394902516709)	(60, 0.01999036617132216)	(62, 0.024350652137415614)	(64, 0.029552095632401115)	(66, 0.034925203929201315)	(68, 0.041989210523876344)	(70, 0.0498171254866268)	(72, 0.058803777861626494)	(74, 0.06864017100560897)	(76, 0.07921472279739468)	(78, 0.09242432929703606)	(80, 0.10814024190317212)	(82, 0.12555563604727374)	(84, 0.14490225921179078)	(86, 0.1667466052427117)	(88, 0.18958660712415795)	(90, 0.2161517352049832)	(92, 0.24516308671166803)	(94, 0.2767236605253012)	(96, 0.30984638403544806)	(98, 0.3458187432557191)	(100, 0.3853617303537359)	(102, 0.4268788626726218)	(104, 0.4752797535442773)	(106, 0.5274486868157655)	(108, 0.5839779060533472)	(110, 0.642773100674883)	(112, 0.7075593968797519)	(114, 0.7812636795388946)	(116, 0.8647271061812032)	(118, 0.954078635525756)	(120, 1.0527429803687567)	(122, 1.1627114524112554)	(124, 1.279683848367794)	(126, 1.407986121244103)	(128, 1.5465024498283868)	(130, 1.69750739274469)	(132, 1.8608636181515614)	(134, 2.041875568425075)	(136, 2.239942416758879)	(138, 2.4563173162062215)
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2 - illumina_universal_adapter	(1, 0.0004291620045367574)	(2, 0.0004291620045367574)	(3, 0.0004291620045367574)	(4, 0.0004291620045367574)	(5, 0.0004463284847182277)	(6, 0.00046349496489969796)	(7, 0.00046349496489969796)	(8, 0.00046349496489969796)	(9, 0.0004978279252626386)	(10, 0.0005064111653533738)	(12, 0.000523577645534844)	(14, 0.0005493273658070494)	(16, 0.0005664938459885197)	(18, 0.0005922435662607253)	(20, 0.0006265765266236657)	(22, 0.0006351597667144009)	(24, 0.0006523262468958712)	(26, 0.0006694927270773415)	(28, 0.0006694927270773415)	(30, 0.0007209921676217524)	(32, 0.0023432245447706952)	(34, 0.003922540721465962)	(36, 0.0040427060827362546)	(38, 0.004257287085004634)	(40, 0.004583450208452569)	(42, 0.004883863611628299)	(44, 0.005338775336437262)	(46, 0.005999684823423868)	(48, 0.006892341792860324)	(50, 0.00818841104656133)	(52, 0.009664728342167776)	(54, 0.011098129437320546)	(56, 0.01310660761855257)	(58, 0.016248073491761633)	(60, 0.020050448851957305)	(62, 0.024496567218958112)	(64, 0.029672260993671404)	(66, 0.03495095364947352)	(68, 0.04204929320451149)	(70, 0.04970554336544724)	(72, 0.058666446020174734)	(74, 0.06849425592406648)	(76, 0.0790945574361244)	(78, 0.09226124773531211)	(80, 0.10778832905945199)	(82, 0.12518655672337214)	(84, 0.14436151508607445)	(86, 0.16603419631518068)	(88, 0.18865961719435853)	(90, 0.2151389128742765)	(92, 0.2441330979007798)	(94, 0.27530742591032986)	(96, 0.308164068977664)	(98, 0.3440334293168462)	(100, 0.3832330868112336)	(102, 0.42445838896703453)	(104, 0.4727562809576012)	(106, 0.5247277997070026)	(108, 0.580810690459866)	(110, 0.6393741375989519)	(112, 0.7035252740371063)	(114, 0.7768776438525289)	(116, 0.8597574101686676)	(118, 0.9490316903524038)	(120, 1.0464943815827015)	(122, 1.1558534435787577)	(124, 1.271710018323501)	(126, 1.3993084655123695)	(128, 1.5372411337704834)	(130, 1.6872246711159895)	(132, 1.849602407152517)	(134, 2.0297731998971384)	(136, 2.226998890702051)	(138, 2.4408331510825354)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 0.0003510951950900198)	(2, 0.00035771963273322773)	(3, 0.00036434407037643564)	(4, 0.00037096850801964355)	(5, 0.00037096850801964355)	(6, 0.0003775929456628515)	(7, 0.00038421738330605943)	(8, 0.00039084182094926734)	(9, 0.00039746625859247525)	(10, 0.00042396400916530695)	(12, 0.00044714954091653464)	(14, 0.0004603984162029505)	(16, 0.0004670228538461584)	(18, 0.00047695951031097035)	(20, 0.0005100816985270099)	(22, 0.0005233305738134258)	(24, 0.0005531405432078614)	(26, 0.0005697016373158812)	(28, 0.0006260093572831484)	(30, 0.000672380420785604)	(32, 0.002242372142225881)	(34, 0.003772617237806911)	(36, 0.0038388616142389902)	(38, 0.004024345868248812)	(40, 0.004266137842225902)	(42, 0.004567549754991861)	(44, 0.005041197046481228)	(46, 0.005690391935515604)	(48, 0.00658137879852707)	(50, 0.00782014863780695)	(52, 0.009128475072340516)	(54, 0.01057922691620305)	(56, 0.012516874926841368)	(58, 0.015302450955810298)	(60, 0.018932642784288238)	(62, 0.02300667193486111)	(64, 0.027325805278232675)	(66, 0.03200597047315907)	(68, 0.03851116823878925)	(70, 0.04643068344124432)	(72, 0.055277619913748494)	(74, 0.06512815868919868)	(76, 0.07544240809967341)	(78, 0.08747569907856059)	(80, 0.10239393265106483)	(82, 0.11948498177054127)	(84, 0.1375663843176773)	(86, 0.15786697347528797)	(88, 0.18055567240327508)	(90, 0.2067155766563032)	(92, 0.23505823311276827)	(94, 0.26614671897234304)	(96, 0.298881377586255)	(98, 0.3340968880975483)	(100, 0.37239938655057647)	(102, 0.4147196064342103)	(104, 0.4606004615510684)	(106, 0.5103301149386302)	(108, 0.5650711554032789)	(110, 0.6238762883620357)	(112, 0.6894515965921508)	(114, 0.7623005373545083)	(116, 0.8435128306414158)	(118, 0.931041525221122)	(120, 1.0270991832664587)	(122, 1.1328185836144138)	(124, 1.2461030917509124)	(126, 1.369867460238966)	(128, 1.5054696987954321)	(130, 1.6548375187744844)	(132, 1.8138637688373338)	(134, 1.9897955837656496)	(136, 2.1833517150437203)	(138, 2.390020920636521)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 0.0003444707574468119)	(2, 0.0003510951950900198)	(3, 0.00035771963273322773)	(4, 0.00036434407037643564)	(5, 0.00036434407037643564)	(6, 0.00037096850801964355)	(7, 0.0003775929456628515)	(8, 0.00038421738330605943)	(9, 0.00039084182094926734)	(10, 0.00041733957152209904)	(12, 0.0004405251032733267)	(14, 0.0004537739785597426)	(16, 0.00045708619738134656)	(18, 0.00046371063502455447)	(20, 0.0004968328232405941)	(22, 0.0005133939173486139)	(24, 0.0005432038867430496)	(26, 0.0005663894184942773)	(28, 0.0006160727008183366)	(30, 0.0006458826702127723)	(32, 0.0022390599234042774)	(34, 0.003785866113093327)	(36, 0.0038719838024550302)	(38, 0.00403097030589202)	(40, 0.004256201185761089)	(42, 0.004484744284451763)	(44, 0.004925269387725089)	(46, 0.005571152057937862)	(48, 0.006455514483306119)	(50, 0.007671098790834772)	(52, 0.008952927474795504)	(54, 0.010393742662193228)	(56, 0.012318141797545128)	(58, 0.015116966701800476)	(60, 0.01879021737495927)	(62, 0.022834436556137705)	(64, 0.027140321024222855)	(66, 0.03183042287561406)	(68, 0.03826606404599056)	(70, 0.046086212683797506)	(72, 0.05489671474926404)	(74, 0.06463132586595809)	(76, 0.07496544858936244)	(78, 0.08684968972127745)	(80, 0.10171824001145763)	(82, 0.11869004925335633)	(84, 0.13668533411113065)	(86, 0.15675738017005064)	(88, 0.1794560157545026)	(90, 0.20538737690883999)	(92, 0.23354786133011685)	(94, 0.264265378681672)	(96, 0.2965495755358458)	(98, 0.33145042525908675)	(100, 0.3693024619523768)	(102, 0.4110132335728355)	(104, 0.4563012015206264)	(106, 0.5056135153366662)	(108, 0.5593410168419041)	(110, 0.6173777150340486)	(112, 0.6821680274034436)	(114, 0.7540928591145737)	(116, 0.8342684279103192)	(118, 0.9205351671189943)	(120, 1.0148870324712047)	(122, 1.1187184680908457)	(124, 1.230081889310814)	(126, 1.3516038856566417)	(128, 1.4847186478780832)	(130, 1.630896801131931)	(132, 1.7866340179049276)	(134, 1.9590648175388083)	(136, 2.148470738633409)	(138, 2.35107253951328)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.6750160694902834e-06)	(4, 2.6750160694902834e-06)	(5, 2.6750160694902834e-06)	(6, 2.6750160694902834e-06)	(7, 2.6750160694902834e-06)	(8, 5.350032138980567e-06)	(9, 5.350032138980567e-06)	(10, 1.6050096416941702e-05)	(12, 2.1400128555922267e-05)	(14, 2.8087668729647975e-05)	(16, 3.076268479913826e-05)	(18, 3.745022497286397e-05)	(20, 4.948779728557024e-05)	(22, 7.757546601521822e-05)	(24, 8.560051422368907e-05)	(26, 9.630057850165021e-05)	(28, 0.00011502569098808219)	(30, 0.00014311335971773015)	(32, 0.00017253853648212329)	(34, 0.00022603885787192895)	(36, 0.00031565189619985344)	(38, 0.00042265253897946477)	(40, 0.0005885035352878624)	(42, 0.0008198924252987719)	(44, 0.0011422318616723512)	(46, 0.0016437973747017792)	(48, 0.0024315896071666677)	(50, 0.0035417212760051353)	(52, 0.004782928732248627)	(54, 0.006450801251575818)	(56, 0.008374137805539333)	(58, 0.010919415595659336)	(60, 0.014235098013792543)	(62, 0.01823023451357628)	(64, 0.022531660353316656)	(66, 0.027523240338985525)	(68, 0.0337653903371411)	(70, 0.04075520732671921)	(72, 0.04864917974778504)	(74, 0.05699255486852523)	(76, 0.06615047238242522)	(78, 0.07615235746624939)	(80, 0.08759072617938984)	(82, 0.10090829368134721)	(84, 0.11538949317353286)	(86, 0.13159072799840077)	(88, 0.14884458164661307)	(90, 0.16792814628635677)	(92, 0.188793271628381)	(94, 0.2118037598581364)	(96, 0.235941767361182)	(98, 0.2623374884268773)	(100, 0.29091736011331154)	(102, 0.32207327227466487)	(104, 0.35597107590724575)	(106, 0.39155280215557076)	(108, 0.42967713117794626)	(110, 0.46912158063061526)	(112, 0.5112370336286702)	(114, 0.5553119358976268)	(116, 0.6029499595711446)	(118, 0.653660239200472)	(120, 0.7079483528227425)	(122, 0.765889200887902)	(124, 0.8268568296356898)	(126, 0.889512393523326)	(128, 0.9537649420044478)	(130, 1.0224219044439855)	(132, 1.0943477365204402)	(134, 1.1691946861447784)	(136, 1.2481103352108112)	(138, 1.3308592823044236)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 2.6750160694902834e-06)	(2, 2.6750160694902834e-06)	(3, 8.025048208470851e-06)	(4, 8.025048208470851e-06)	(5, 8.025048208470851e-06)	(6, 1.0700064277961134e-05)	(7, 1.0700064277961134e-05)	(8, 1.3375080347451418e-05)	(9, 1.3375080347451418e-05)	(10, 2.0062620521177124e-05)	(12, 2.407514462541255e-05)	(14, 3.076268479913826e-05)	(16, 3.878773300760911e-05)	(18, 4.413776514658968e-05)	(20, 6.152536959827652e-05)	(22, 7.35629419109828e-05)	(24, 8.02504820847085e-05)	(26, 9.228805439741478e-05)	(28, 0.00011770070705757247)	(30, 0.000141775851682985)	(32, 0.00016852601237788786)	(34, 0.00021400128555922266)	(36, 0.00030093930781765685)	(38, 0.0004146274907709939)	(40, 0.0005804784870793915)	(42, 0.0008279174735072427)	(44, 0.001160956974158783)	(46, 0.0016585099630839757)	(48, 0.0024596772758963157)	(50, 0.003596559105429686)	(52, 0.004831079021499452)	(54, 0.006482901444409702)	(56, 0.008391525409991019)	(58, 0.010962215852771181)	(60, 0.01430732344766878)	(62, 0.018306472471556756)	(64, 0.022563760546150544)	(66, 0.027578078168410076)	(68, 0.03382424069066989)	(70, 0.040830107776664945)	(72, 0.04866121732009775)	(74, 0.056973829756038805)	(76, 0.06611837218959134)	(78, 0.07615636999035363)	(80, 0.0875746760829729)	(82, 0.1009136437134862)	(84, 0.11536809304497694)	(86, 0.13145162716278727)	(88, 0.14855300489503864)	(90, 0.16756835662501035)	(92, 0.18831578125997697)	(94, 0.21122996891123075)	(96, 0.23521148797421113)	(98, 0.2613397074329575)	(100, 0.2896774901651028)	(102, 0.32048832525349186)	(104, 0.3540798395461161)	(106, 0.38932585127772007)	(108, 0.42692721465851025)	(110, 0.4658781236463583)	(112, 0.5076137243625457)	(114, 0.5514278125647271)	(116, 0.5986017209501882)	(118, 0.6484947831702862)	(120, 0.7020231922288216)	(122, 0.7589595717598875)	(124, 0.8188545190638097)	(126, 0.8803397634210438)	(128, 0.9433858796548256)	(130, 1.0106866089471316)	(132, 1.0810957069121854)	(134, 1.1545877608973267)	(136, 1.2320294761090704)	(138, 1.3131801011011623)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1 - illumina_universal_adapter	(1, 9.522304092876745e-06)	(2, 1.2696405457168994e-05)	(3, 1.2696405457168994e-05)	(4, 2.221870955004574e-05)	(5, 2.5392810914337988e-05)	(6, 2.5392810914337988e-05)	(7, 2.8566912278630236e-05)	(8, 3.1741013642922485e-05)	(9, 3.491511500721473e-05)	(10, 3.967626705365311e-05)	(12, 4.7611520464383724e-05)	(14, 5.554677387511435e-05)	(16, 6.030792592155272e-05)	(18, 6.983023001442946e-05)	(20, 9.522304092876745e-05)	(22, 0.00010950649706808257)	(24, 0.00012855110525383605)	(26, 0.0001507698148038818)	(28, 0.0001967942845861194)	(30, 0.0002539281091433799)	(32, 0.00035867345416502406)	(34, 0.0004888116101010062)	(36, 0.000587208752394066)	(38, 0.0007221080603764865)	(40, 0.0008728778751803683)	(42, 0.0010506275515807342)	(44, 0.0013886693468778588)	(46, 0.0018870032610717416)	(48, 0.002567848003712429)	(50, 0.003621649656657455)	(52, 0.004942075824203031)	(54, 0.006498972543388378)	(56, 0.008673231977928568)	(58, 0.011361695833484103)	(60, 0.01456912526210142)	(62, 0.01825584399672687)	(64, 0.022507552774196332)	(66, 0.027248073161766806)	(68, 0.033166185155489705)	(70, 0.04050312045905124)	(72, 0.04807335221288825)	(74, 0.056432348155751884)	(76, 0.06524206649234501)	(78, 0.07520874477622268)	(80, 0.08723382779484387)	(82, 0.10075549960672885)	(84, 0.1152706651456373)	(86, 0.13122528565325228)	(88, 0.1490605612192104)	(90, 0.16908120557448378)	(92, 0.19058891641892806)	(94, 0.21446450688113433)	(96, 0.24079367769793855)	(98, 0.26904635394150384)	(100, 0.29981767961763506)	(102, 0.3332695338959111)	(104, 0.3696606060375217)	(106, 0.4088052111126559)	(108, 0.45102869451115346)	(110, 0.4965913325448865)	(112, 0.5451233424049151)	(114, 0.5982165359254314)	(116, 0.6563628988179011)	(118, 0.719092664080409)	(120, 0.7855345408884564)	(122, 0.8556885292420436)	(124, 0.932176436868076)	(126, 1.0131239569109391)	(128, 1.0981914605246534)	(130, 1.1884279882101179)	(132, 1.2843445702869833)	(134, 1.388010720844768)	(136, 1.499129661405911)	(138, 1.6173474796682936)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2 - illumina_universal_adapter	(1, 9.522304092876745e-06)	(2, 9.522304092876745e-06)	(3, 1.5870506821461242e-05)	(4, 2.5392810914337988e-05)	(5, 2.8566912278630236e-05)	(6, 2.8566912278630236e-05)	(7, 2.8566912278630236e-05)	(8, 3.1741013642922485e-05)	(9, 3.491511500721473e-05)	(10, 4.285036841794535e-05)	(12, 5.395972319296822e-05)	(14, 6.189497660369884e-05)	(16, 6.348202728584497e-05)	(18, 7.14172806965756e-05)	(20, 9.046188888232908e-05)	(22, 0.0001110935477502287)	(24, 0.0001364863586645667)	(26, 0.00016029211889675854)	(28, 0.00020631658867899613)	(30, 0.00027138566664698725)	(32, 0.00037930511303292365)	(34, 0.0005015080155581753)	(36, 0.0005951440058047966)	(38, 0.0007236951110586327)	(40, 0.0008760519765446605)	(42, 0.0010680851090843417)	(44, 0.0014108880564279043)	(46, 0.0019235054267611024)	(48, 0.0026170465748589587)	(50, 0.003699415140082616)	(52, 0.0050388859158139445)	(54, 0.006619588395231484)	(56, 0.008822414742050304)	(58, 0.011475963482598623)	(60, 0.014672283556440919)	(62, 0.01833202242946988)	(64, 0.022540880838521404)	(66, 0.027260769567223973)	(68, 0.03315824990207897)	(70, 0.04039678806334744)	(72, 0.047979716222641626)	(74, 0.05628316539163015)	(76, 0.06507066501867324)	(78, 0.07506432316414738)	(80, 0.08708940618276856)	(82, 0.10051585495372478)	(84, 0.1150024535803546)	(86, 0.13094437768251244)	(88, 0.1487320417280062)	(90, 0.16863365728211857)	(92, 0.19000329471721614)	(94, 0.21350592826911807)	(96, 0.23953514650699667)	(98, 0.26734662266092535)	(100, 0.29769261875424136)	(102, 0.3306032887499056)	(104, 0.36653570324437595)	(106, 0.4052533916860128)	(108, 0.4469928246264559)	(110, 0.49200793017484856)	(112, 0.5398463988867792)	(114, 0.5922777922728406)	(116, 0.6496084111146873)	(118, 0.7111986739874141)	(120, 0.7764312181756663)	(122, 0.8451743184728255)	(124, 0.9200069322373796)	(126, 0.9991325180971389)	(128, 1.0825193350384605)	(130, 1.1712148365115609)	(132, 1.2655284973994587)	(134, 1.367275903682529)	(136, 1.4761618639338923)	(138, 1.5924641120229246)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1 - illumina_universal_adapter	(1, 0.00021706695104504558)	(2, 0.00021706695104504558)	(3, 0.00021706695104504558)	(4, 0.00021706695104504558)	(5, 0.00021706695104504558)	(6, 0.00023257173326254884)	(7, 0.00026358129769755534)	(8, 0.00026358129769755534)	(9, 0.00026358129769755534)	(10, 0.00033335281767631997)	(12, 0.00037211477322007813)	(14, 0.00040312433765508465)	(16, 0.0004263815109813395)	(18, 0.00044188629319884276)	(20, 0.00047289585763384933)	(22, 0.0004961530309601041)	(24, 0.000519410204286359)	(26, 0.000542667377612614)	(28, 0.0005581721598301172)	(30, 0.0006279436798088819)	(32, 0.0007597343286576595)	(34, 0.0009302869330501953)	(36, 0.0010078108441377116)	(38, 0.0011861158396389991)	(40, 0.0013799256173577896)	(42, 0.0016435069150553452)	(44, 0.002038878861601678)	(46, 0.0025117747192355275)	(48, 0.0035893570833520037)	(50, 0.004736710967447245)	(52, 0.006155398540348793)	(54, 0.00776789589096913)	(56, 0.009946317792528338)	(58, 0.012923235978288962)	(60, 0.016760669577121017)	(62, 0.021288065984631968)	(64, 0.026466663245278056)	(66, 0.03184682267475168)	(68, 0.03947517552576329)	(70, 0.04798730096317258)	(72, 0.05752274202693708)	(74, 0.06880247109017071)	(76, 0.08102023947756326)	(78, 0.09419930436244103)	(80, 0.10967307701550928)	(82, 0.12771289112557432)	(84, 0.14714813563521464)	(86, 0.16922694551293926)	(88, 0.19419739727422827)	(90, 0.2226564250344555)	(92, 0.25298377905189184)	(94, 0.28540427866869117)	(96, 0.32050710560911855)	(98, 0.35951713766835675)	(100, 0.4006823344558279)	(102, 0.4449484876867997)	(104, 0.4924551404012296)	(106, 0.5430705019502691)	(108, 0.5972984777559867)	(110, 0.653441294165566)	(112, 0.7136541159072398)	(114, 0.7801773840114377)	(116, 0.8499954183368548)	(118, 0.9230617045368388)	(120, 0.9985234795894271)	(122, 1.080241434266778)	(124, 1.1687737407287218)	(126, 1.2620660153314387)	(128, 1.3573739116224313)	(130, 1.4611164094397455)	(132, 1.5687506075936533)	(134, 1.6831681479677183)	(136, 1.8039271442687426)	(138, 1.929546889794954)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2 - illumina_universal_adapter	(1, 0.00021706695104504558)	(2, 0.00021706695104504558)	(3, 0.00021706695104504558)	(4, 0.00023257173326254884)	(5, 0.00023257173326254884)	(6, 0.0002480765154800521)	(7, 0.0002790860799150586)	(8, 0.0002790860799150586)	(9, 0.0002790860799150586)	(10, 0.00034885759989382325)	(12, 0.0003876195554375814)	(14, 0.0004186291198725879)	(16, 0.00044188629319884276)	(18, 0.00045739107541634605)	(20, 0.0004884006398513526)	(22, 0.0005039054220688558)	(24, 0.000519410204286359)	(26, 0.0005581721598301172)	(28, 0.0006356960709176335)	(30, 0.0007209723731139014)	(32, 0.0008605154130714306)	(34, 0.0010543251907902213)	(36, 0.0011706110574214957)	(38, 0.0013799256173577896)	(40, 0.0016124973506203386)	(42, 0.0018450690838828874)	(44, 0.002271450594864227)	(46, 0.002783108408041834)	(48, 0.003837433598832056)	(50, 0.005054559002906061)	(52, 0.006527513313568871)	(54, 0.008178772619732967)	(56, 0.01038045169461843)	(58, 0.013357369880379055)	(60, 0.017202555870319863)	(62, 0.021660180757852046)	(64, 0.0269085495384769)	(66, 0.03230421375016803)	(68, 0.03987829986341837)	(70, 0.04837492051861016)	(72, 0.057910361582374656)	(74, 0.06917458586339077)	(76, 0.08137684946856583)	(78, 0.09456366674455235)	(80, 0.11000642983318559)	(82, 0.1278601865566406)	(84, 0.14722565954630218)	(86, 0.16932772659735307)	(88, 0.19422840683866327)	(90, 0.22256339634115047)	(92, 0.25287524557636937)	(94, 0.2851949641087549)	(96, 0.32032880061361724)	(98, 0.3593465850639642)	(100, 0.4005970581536316)	(102, 0.44493298290458216)	(104, 0.49235435931681587)	(106, 0.5429077017369852)	(108, 0.5971744394982467)	(110, 0.6531777128678684)	(112, 0.7130571817918661)	(114, 0.7795571927227374)	(116, 0.8494217413948071)	(118, 0.9222244462970937)	(120, 0.9976242022208119)	(122, 1.0794351855914681)	(124, 1.1675876248890829)	(126, 1.2605853086296672)	(128, 1.3556683855785059)	(130, 1.459046521013709)	(132, 1.5665179189543328)	(134, 1.6807261447684616)	(136, 1.8012448169451145)	(138, 1.926740524213586)
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 0.0002814664653034725)	(2, 0.0002814664653034725)	(3, 0.0002814664653034725)	(4, 0.00030023089632370397)	(5, 0.0003064857066637811)	(6, 0.0003064857066637811)	(7, 0.0003064857066637811)	(8, 0.0003064857066637811)	(9, 0.0003315049480240898)	(10, 0.00035026937904432127)	(12, 0.00035652418938439845)	(14, 0.00037528862040462995)	(16, 0.00038779824108478426)	(18, 0.00041594488761513153)	(20, 0.00043158191346532443)	(22, 0.00045972855999567165)	(24, 0.0004847478013559803)	(26, 0.0005035122323762118)	(28, 0.0005222766633964434)	(30, 0.0005379136892466362)	(32, 0.0006661373012182181)	(34, 0.0007912335080197614)	(36, 0.0008881830682909575)	(38, 0.001078954783663311)	(40, 0.0012916183352259347)	(42, 0.001604358852229793)	(44, 0.00196401044678423)	(46, 0.00242686641194994)	(48, 0.0032337369458198947)	(50, 0.0044753167983252115)	(52, 0.00587013950416242)	(54, 0.007440096899521789)	(56, 0.009626153113378758)	(58, 0.012215644594170705)	(60, 0.01597791301372712)	(62, 0.019980991631376503)	(64, 0.02449383729174218)	(66, 0.02990112083073889)	(68, 0.03659376789462146)	(70, 0.04475004057808209)	(72, 0.05395086658833559)	(74, 0.06424628440810261)	(76, 0.07587710423547608)	(78, 0.0888057972084156)	(80, 0.10333572162841485)	(82, 0.12115880369246473)	(84, 0.14057373498806425)	(86, 0.1630128670830911)	(88, 0.1862619971171579)	(90, 0.21341412880343288)	(92, 0.2430963312722691)	(94, 0.2746737412741487)	(96, 0.30814010399873154)	(98, 0.344089626428325)	(100, 0.38307898668319607)	(102, 0.4266781421587039)	(104, 0.4724664812532388)	(106, 0.521031956138768)	(108, 0.5721963047205991)	(110, 0.6260721135848539)	(112, 0.6840917342994097)	(114, 0.7467524242863026)	(116, 0.8134287025115252)	(118, 0.8838484847252841)	(120, 0.9576552467381946)	(122, 1.0367285590574502)	(124, 1.1217220493635887)	(126, 1.2106091591064252)	(128, 1.301200704666933)	(130, 1.3971964063612672)	(132, 1.5009887291445076)	(134, 1.611476826396801)	(136, 1.7279476497393778)	(138, 1.849306607362725)
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 0.0002752116549633953)	(2, 0.0002752116549633953)	(3, 0.0002752116549633953)	(4, 0.0002939760859836268)	(5, 0.00030023089632370397)	(6, 0.00030023089632370397)	(7, 0.00030023089632370397)	(8, 0.00030023089632370397)	(9, 0.0003252501376840126)	(10, 0.00033775975836416696)	(12, 0.0003440145687042441)	(14, 0.0003627789997244756)	(16, 0.0003815434307447071)	(18, 0.00042219969795520866)	(20, 0.00043158191346532443)	(22, 0.0004691107755057874)	(24, 0.0004910026116960575)	(26, 0.000509767042716289)	(28, 0.0005410410944166748)	(30, 0.0005723151461170606)	(32, 0.0007005387580886425)	(34, 0.0008256349648901858)	(36, 0.0009382215510115748)	(38, 0.0010977192146835427)	(40, 0.0013291471972663978)	(42, 0.0016512699297803717)	(44, 0.001995284498484616)	(46, 0.002445630842970172)	(48, 0.0032650109975202804)	(50, 0.004534737496555945)	(52, 0.005907668366202883)	(54, 0.00748075316673229)	(56, 0.009607388682358527)	(58, 0.012225026809680819)	(60, 0.01598104041889716)	(62, 0.0199966286572267)	(64, 0.024500092102082257)	(66, 0.02991050304624901)	(68, 0.036515582765370494)	(70, 0.044593670319580156)	(72, 0.053719438605752734)	(74, 0.06403362085653999)	(76, 0.07558312814949247)	(78, 0.0884899292862417)	(80, 0.10290413971494952)	(82, 0.12043011828784575)	(84, 0.1395573283078017)	(86, 0.1617556502047356)	(88, 0.18481088111826)	(90, 0.21157834196862024)	(92, 0.2411354482306549)	(94, 0.27262529088777343)	(96, 0.3058914996814738)	(98, 0.34144071424930234)	(100, 0.38029872348703175)	(102, 0.4235444821783253)	(104, 0.4688386912559941)	(106, 0.5168349784005761)	(108, 0.5675177065862215)	(110, 0.6206929766923874)	(112, 0.6782528688469476)	(114, 0.7398721329122178)	(116, 0.8057790694656108)	(118, 0.8751980820249573)	(120, 0.9480228388144758)	(122, 1.0258170424191855)	(124, 1.1094000729936369)	(126, 1.1965452180567617)	(128, 1.2853791619117079)	(130, 1.3795484589867395)	(132, 1.4815143771506776)	(134, 1.5898883485080244)	(136, 1.7043201036797362)	(138, 1.8235930820546677)
