Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_1	(17.0, 23.0)	(18.0, 326.0)	(19.0, 1925.0)	(20.0, 9259.0)	(21.0, 24275.0)	(22.0, 32324.0)	(23.0, 24588.0)	(24.0, 20533.0)	(25.0, 19435.0)	(26.0, 21426.0)	(27.0, 24123.0)	(28.0, 28972.0)	(29.0, 35105.0)	(30.0, 44370.0)	(31.0, 56270.0)	(32.0, 77283.0)	(33.0, 106351.0)	(34.0, 163582.0)	(35.0, 265519.0)	(36.0, 525904.0)	(37.0, 1094308.0)	(38.0, 3265880.0)	(39.0, 13828009.0)	(40.0, 3906749.0)				
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_2	(14.0, 3.0)	(15.0, 36.0)	(16.0, 326.0)	(17.0, 1682.0)	(18.0, 4583.0)	(19.0, 10822.0)	(20.0, 25380.0)	(21.0, 34920.0)	(22.0, 28143.0)	(23.0, 20475.0)	(24.0, 20322.0)	(25.0, 21281.0)	(26.0, 24497.0)	(27.0, 28464.0)	(28.0, 35684.0)	(29.0, 43470.0)	(30.0, 56843.0)	(31.0, 73983.0)	(32.0, 102916.0)	(33.0, 141489.0)	(34.0, 222319.0)	(35.0, 362404.0)	(36.0, 722751.0)	(37.0, 1542208.0)	(38.0, 4271125.0)	(39.0, 13318949.0)	(40.0, 2461464.0)	
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_1	(17.0, 12.0)	(18.0, 120.0)	(19.0, 504.0)	(20.0, 2068.0)	(21.0, 5456.0)	(22.0, 8816.0)	(23.0, 8706.0)	(24.0, 7032.0)	(25.0, 5521.0)	(26.0, 5204.0)	(27.0, 5107.0)	(28.0, 5616.0)	(29.0, 6487.0)	(30.0, 7563.0)	(31.0, 9309.0)	(32.0, 12477.0)	(33.0, 16560.0)	(34.0, 24547.0)	(35.0, 38263.0)	(36.0, 70954.0)	(37.0, 139454.0)	(38.0, 393495.0)	(39.0, 3565179.0)	(40.0, 1895121.0)				
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_2	(14.0, 2.0)	(15.0, 8.0)	(16.0, 119.0)	(17.0, 526.0)	(18.0, 1284.0)	(19.0, 2395.0)	(20.0, 5614.0)	(21.0, 9116.0)	(22.0, 8606.0)	(23.0, 6201.0)	(24.0, 5188.0)	(25.0, 4620.0)	(26.0, 4635.0)	(27.0, 4868.0)	(28.0, 5591.0)	(29.0, 6272.0)	(30.0, 7859.0)	(31.0, 9287.0)	(32.0, 11914.0)	(33.0, 15741.0)	(34.0, 23084.0)	(35.0, 36979.0)	(36.0, 72988.0)	(37.0, 150850.0)	(38.0, 455648.0)	(39.0, 3857327.0)	(40.0, 1526849.0)	
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_1	(16.0, 2.0)	(17.0, 24.0)	(18.0, 258.0)	(19.0, 1459.0)	(20.0, 6750.0)	(21.0, 18257.0)	(22.0, 24060.0)	(23.0, 17877.0)	(24.0, 14487.0)	(25.0, 13236.0)	(26.0, 14679.0)	(27.0, 15993.0)	(28.0, 19477.0)	(29.0, 22758.0)	(30.0, 29270.0)	(31.0, 36665.0)	(32.0, 49994.0)	(33.0, 68521.0)	(34.0, 105429.0)	(35.0, 172112.0)	(36.0, 341030.0)	(37.0, 708447.0)	(38.0, 2103719.0)	(39.0, 8692671.0)	(40.0, 2368667.0)			
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_2	(13.0, 1.0)	(14.0, 4.0)	(15.0, 19.0)	(16.0, 250.0)	(17.0, 1278.0)	(18.0, 3377.0)	(19.0, 7497.0)	(20.0, 17813.0)	(21.0, 25129.0)	(22.0, 20196.0)	(23.0, 13843.0)	(24.0, 12743.0)	(25.0, 13094.0)	(26.0, 15199.0)	(27.0, 17312.0)	(28.0, 21626.0)	(29.0, 26061.0)	(30.0, 34007.0)	(31.0, 43627.0)	(32.0, 60228.0)	(33.0, 83664.0)	(34.0, 130701.0)	(35.0, 214999.0)	(36.0, 429059.0)	(37.0, 926832.0)	(38.0, 2627398.0)	(39.0, 8486700.0)	(40.0, 1613185.0)
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_1	(16.0, 2.0)	(17.0, 11.0)	(18.0, 119.0)	(19.0, 533.0)	(20.0, 1941.0)	(21.0, 5339.0)	(22.0, 9074.0)	(23.0, 8990.0)	(24.0, 7525.0)	(25.0, 6062.0)	(26.0, 5745.0)	(27.0, 5695.0)	(28.0, 6422.0)	(29.0, 7125.0)	(30.0, 8853.0)	(31.0, 10736.0)	(32.0, 14279.0)	(33.0, 19582.0)	(34.0, 29579.0)	(35.0, 45672.0)	(36.0, 86553.0)	(37.0, 168444.0)	(38.0, 478155.0)	(39.0, 4125582.0)	(40.0, 2022538.0)			
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_2	(14.0, 2.0)	(15.0, 20.0)	(16.0, 183.0)	(17.0, 746.0)	(18.0, 1636.0)	(19.0, 2902.0)	(20.0, 5948.0)	(21.0, 9300.0)	(22.0, 8759.0)	(23.0, 6658.0)	(24.0, 5704.0)	(25.0, 5353.0)	(26.0, 5471.0)	(27.0, 5846.0)	(28.0, 6644.0)	(29.0, 7759.0)	(30.0, 9208.0)	(31.0, 11449.0)	(32.0, 14977.0)	(33.0, 19665.0)	(34.0, 29230.0)	(35.0, 46401.0)	(36.0, 90034.0)	(37.0, 185962.0)	(38.0, 556042.0)	(39.0, 4377453.0)	(40.0, 1661204.0)	
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_1	(16.0, 2.0)	(17.0, 23.0)	(18.0, 263.0)	(19.0, 1486.0)	(20.0, 7066.0)	(21.0, 18791.0)	(22.0, 25077.0)	(23.0, 19314.0)	(24.0, 15949.0)	(25.0, 15213.0)	(26.0, 16800.0)	(27.0, 18571.0)	(28.0, 22503.0)	(29.0, 26621.0)	(30.0, 34327.0)	(31.0, 43080.0)	(32.0, 59479.0)	(33.0, 81702.0)	(34.0, 127692.0)	(35.0, 208434.0)	(36.0, 411444.0)	(37.0, 849691.0)	(38.0, 2456696.0)	(39.0, 9570126.0)	(40.0, 2472784.0)			
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_2	(13.0, 1.0)	(14.0, 2.0)	(15.0, 56.0)	(16.0, 457.0)	(17.0, 2041.0)	(18.0, 4534.0)	(19.0, 9112.0)	(20.0, 19670.0)	(21.0, 26755.0)	(22.0, 22531.0)	(23.0, 16539.0)	(24.0, 16379.0)	(25.0, 16964.0)	(26.0, 19667.0)	(27.0, 22523.0)	(28.0, 27885.0)	(29.0, 33632.0)	(30.0, 43724.0)	(31.0, 55883.0)	(32.0, 77920.0)	(33.0, 107237.0)	(34.0, 166409.0)	(35.0, 269084.0)	(36.0, 527573.0)	(37.0, 1100140.0)	(38.0, 2967069.0)	(39.0, 9266837.0)	(40.0, 1682510.0)
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 30.0)	(18.0, 337.0)	(19.0, 2028.0)	(20.0, 10303.0)	(21.0, 27699.0)	(22.0, 37043.0)	(23.0, 27193.0)	(24.0, 22309.0)	(25.0, 20255.0)	(26.0, 22321.0)	(27.0, 24427.0)	(28.0, 29447.0)	(29.0, 34731.0)	(30.0, 45009.0)	(31.0, 56156.0)	(32.0, 76452.0)	(33.0, 104003.0)	(34.0, 161787.0)	(35.0, 265591.0)	(36.0, 534062.0)	(37.0, 1123947.0)	(38.0, 3350442.0)	(39.0, 13593849.0)	(40.0, 3697693.0)			
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_2	(14.0, 6.0)	(15.0, 45.0)	(16.0, 414.0)	(17.0, 1903.0)	(18.0, 5214.0)	(19.0, 12155.0)	(20.0, 28888.0)	(21.0, 39909.0)	(22.0, 32006.0)	(23.0, 22641.0)	(24.0, 21732.0)	(25.0, 22515.0)	(26.0, 25900.0)	(27.0, 29362.0)	(28.0, 36635.0)	(29.0, 44044.0)	(30.0, 58370.0)	(31.0, 74610.0)	(32.0, 103566.0)	(33.0, 144367.0)	(34.0, 224945.0)	(35.0, 368676.0)	(36.0, 730638.0)	(37.0, 1555585.0)	(38.0, 4241191.0)	(39.0, 13014481.0)	(40.0, 2427317.0)	
