Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	(16.0, 1.0)	(17.0, 9.0)	(18.0, 101.0)	(19.0, 504.0)	(20.0, 1848.0)	(21.0, 4849.0)	(22.0, 8171.0)	(23.0, 8029.0)	(24.0, 6659.0)	(25.0, 5256.0)	(26.0, 5053.0)	(27.0, 5047.0)	(28.0, 5562.0)	(29.0, 6434.0)	(30.0, 7728.0)	(31.0, 9279.0)	(32.0, 12461.0)	(33.0, 16446.0)	(34.0, 24709.0)	(35.0, 38186.0)	(36.0, 72300.0)	(37.0, 141464.0)	(38.0, 401009.0)	(39.0, 3462414.0)	(40.0, 1581787.0)			
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	(13.0, 1.0)	(14.0, 4.0)	(15.0, 19.0)	(16.0, 120.0)	(17.0, 383.0)	(18.0, 981.0)	(19.0, 2078.0)	(20.0, 4919.0)	(21.0, 7968.0)	(22.0, 7559.0)	(23.0, 5437.0)	(24.0, 4817.0)	(25.0, 4240.0)	(26.0, 4201.0)	(27.0, 4447.0)	(28.0, 4983.0)	(29.0, 5683.0)	(30.0, 7004.0)	(31.0, 8333.0)	(32.0, 10902.0)	(33.0, 14283.0)	(34.0, 21447.0)	(35.0, 34625.0)	(36.0, 68504.0)	(37.0, 143728.0)	(38.0, 443733.0)	(39.0, 3663484.0)	(40.0, 1351423.0)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 29.0)	(18.0, 328.0)	(19.0, 1655.0)	(20.0, 7038.0)	(21.0, 17800.0)	(22.0, 23246.0)	(23.0, 17922.0)	(24.0, 15293.0)	(25.0, 14381.0)	(26.0, 16118.0)	(27.0, 18055.0)	(28.0, 21481.0)	(29.0, 25213.0)	(30.0, 32462.0)	(31.0, 40554.0)	(32.0, 55736.0)	(33.0, 75418.0)	(34.0, 116459.0)	(35.0, 191235.0)	(36.0, 380899.0)	(37.0, 791899.0)	(38.0, 2315014.0)	(39.0, 8811643.0)	(40.0, 2105742.0)			
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	(14.0, 6.0)	(15.0, 36.0)	(16.0, 257.0)	(17.0, 1079.0)	(18.0, 3021.0)	(19.0, 7191.0)	(20.0, 16455.0)	(21.0, 22827.0)	(22.0, 18881.0)	(23.0, 13769.0)	(24.0, 13454.0)	(25.0, 13661.0)	(26.0, 15763.0)	(27.0, 17891.0)	(28.0, 22404.0)	(29.0, 26822.0)	(30.0, 35252.0)	(31.0, 45231.0)	(32.0, 63049.0)	(33.0, 87482.0)	(34.0, 137266.0)	(35.0, 226701.0)	(36.0, 453858.0)	(37.0, 987726.0)	(38.0, 2796340.0)	(39.0, 8638806.0)	(40.0, 1430393.0)	
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 53.0)	(18.0, 707.0)	(19.0, 3920.0)	(20.0, 17335.0)	(21.0, 44422.0)	(22.0, 57849.0)	(23.0, 44178.0)	(24.0, 37375.0)	(25.0, 36103.0)	(26.0, 40557.0)	(27.0, 44341.0)	(28.0, 54101.0)	(29.0, 64469.0)	(30.0, 83212.0)	(31.0, 105375.0)	(32.0, 146939.0)	(33.0, 203951.0)	(34.0, 321130.0)	(35.0, 536433.0)	(36.0, 1088106.0)	(37.0, 2251636.0)	(38.0, 6336886.0)	(39.0, 21233005.0)	(40.0, 4630869.0)			
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	(14.0, 13.0)	(15.0, 121.0)	(16.0, 863.0)	(17.0, 3549.0)	(18.0, 9681.0)	(19.0, 21562.0)	(20.0, 46886.0)	(21.0, 61885.0)	(22.0, 51460.0)	(23.0, 38283.0)	(24.0, 38074.0)	(25.0, 40144.0)	(26.0, 46581.0)	(27.0, 53985.0)	(28.0, 67477.0)	(29.0, 83265.0)	(30.0, 110029.0)	(31.0, 142681.0)	(32.0, 201133.0)	(33.0, 279263.0)	(34.0, 435669.0)	(35.0, 718457.0)	(36.0, 1419087.0)	(37.0, 2957123.0)	(38.0, 7577467.0)	(39.0, 19944609.0)	(40.0, 3033606.0)	
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	(16.0, 3.0)	(17.0, 43.0)	(18.0, 527.0)	(19.0, 2912.0)	(20.0, 12280.0)	(21.0, 33130.0)	(22.0, 43821.0)	(23.0, 34619.0)	(24.0, 30298.0)	(25.0, 29525.0)	(26.0, 32663.0)	(27.0, 36052.0)	(28.0, 43489.0)	(29.0, 51881.0)	(30.0, 67452.0)	(31.0, 85638.0)	(32.0, 119033.0)	(33.0, 163870.0)	(34.0, 256802.0)	(35.0, 428090.0)	(36.0, 853831.0)	(37.0, 1745725.0)	(38.0, 4993845.0)	(39.0, 18183092.0)	(40.0, 4256359.0)			
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	(14.0, 11.0)	(15.0, 82.0)	(16.0, 601.0)	(17.0, 2631.0)	(18.0, 7136.0)	(19.0, 16301.0)	(20.0, 34141.0)	(21.0, 44752.0)	(22.0, 37647.0)	(23.0, 28836.0)	(24.0, 28917.0)	(25.0, 30078.0)	(26.0, 34354.0)	(27.0, 38589.0)	(28.0, 47486.0)	(29.0, 57254.0)	(30.0, 74047.0)	(31.0, 95443.0)	(32.0, 132589.0)	(33.0, 184284.0)	(34.0, 291833.0)	(35.0, 482349.0)	(36.0, 964135.0)	(37.0, 2063588.0)	(38.0, 5715143.0)	(39.0, 18047219.0)	(40.0, 3045534.0)	
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	(17.0, 14.0)	(18.0, 94.0)	(19.0, 535.0)	(20.0, 2004.0)	(21.0, 5660.0)	(22.0, 9577.0)	(23.0, 9303.0)	(24.0, 7504.0)	(25.0, 5823.0)	(26.0, 5452.0)	(27.0, 5351.0)	(28.0, 5968.0)	(29.0, 6768.0)	(30.0, 8236.0)	(31.0, 9733.0)	(32.0, 13030.0)	(33.0, 17596.0)	(34.0, 26631.0)	(35.0, 41891.0)	(36.0, 79623.0)	(37.0, 157412.0)	(38.0, 447713.0)	(39.0, 3837663.0)	(40.0, 1746042.0)				
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	(13.0, 1.0)	(14.0, 5.0)	(15.0, 19.0)	(16.0, 137.0)	(17.0, 673.0)	(18.0, 1305.0)	(19.0, 2629.0)	(20.0, 5985.0)	(21.0, 9576.0)	(22.0, 8869.0)	(23.0, 6453.0)	(24.0, 5523.0)	(25.0, 4880.0)	(26.0, 5104.0)	(27.0, 5233.0)	(28.0, 5995.0)	(29.0, 6712.0)	(30.0, 8190.0)	(31.0, 9976.0)	(32.0, 12987.0)	(33.0, 16978.0)	(34.0, 25573.0)	(35.0, 40897.0)	(36.0, 80722.0)	(37.0, 170743.0)	(38.0, 515029.0)	(39.0, 4067187.0)	(40.0, 1432242.0)
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 16.0)	(18.0, 228.0)	(19.0, 1447.0)	(20.0, 7166.0)	(21.0, 19231.0)	(22.0, 25504.0)	(23.0, 19267.0)	(24.0, 15680.0)	(25.0, 14662.0)	(26.0, 16394.0)	(27.0, 18307.0)	(28.0, 21805.0)	(29.0, 25933.0)	(30.0, 33597.0)	(31.0, 42449.0)	(32.0, 57888.0)	(33.0, 79929.0)	(34.0, 124821.0)	(35.0, 205116.0)	(36.0, 411909.0)	(37.0, 859550.0)	(38.0, 2492918.0)	(39.0, 9286104.0)	(40.0, 2207773.0)			
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_2	(14.0, 4.0)	(15.0, 43.0)	(16.0, 389.0)	(17.0, 1669.0)	(18.0, 3824.0)	(19.0, 8581.0)	(20.0, 19506.0)	(21.0, 26046.0)	(22.0, 21490.0)	(23.0, 15357.0)	(24.0, 14929.0)	(25.0, 15542.0)	(26.0, 17737.0)	(27.0, 20343.0)	(28.0, 25237.0)	(29.0, 31010.0)	(30.0, 40599.0)	(31.0, 52136.0)	(32.0, 73004.0)	(33.0, 101337.0)	(34.0, 159256.0)	(35.0, 262468.0)	(36.0, 524802.0)	(37.0, 1119462.0)	(38.0, 3041857.0)	(39.0, 8914047.0)	(40.0, 1477020.0)	
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1	(16.0, 1.0)	(17.0, 7.0)	(18.0, 75.0)	(19.0, 413.0)	(20.0, 1685.0)	(21.0, 4800.0)	(22.0, 8235.0)	(23.0, 7744.0)	(24.0, 6908.0)	(25.0, 5761.0)	(26.0, 5529.0)	(27.0, 5660.0)	(28.0, 6550.0)	(29.0, 7239.0)	(30.0, 8948.0)	(31.0, 10873.0)	(32.0, 14480.0)	(33.0, 19619.0)	(34.0, 29446.0)	(35.0, 46244.0)	(36.0, 88021.0)	(37.0, 175400.0)	(38.0, 503595.0)	(39.0, 4327719.0)	(40.0, 2063294.0)			
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2	(14.0, 2.0)	(15.0, 20.0)	(16.0, 174.0)	(17.0, 840.0)	(18.0, 1952.0)	(19.0, 3092.0)	(20.0, 6015.0)	(21.0, 8990.0)	(22.0, 8437.0)	(23.0, 6607.0)	(24.0, 5949.0)	(25.0, 5685.0)	(26.0, 6081.0)	(27.0, 6378.0)	(28.0, 7300.0)	(29.0, 8545.0)	(30.0, 10383.0)	(31.0, 12508.0)	(32.0, 16396.0)	(33.0, 21998.0)	(34.0, 32881.0)	(35.0, 51619.0)	(36.0, 99431.0)	(37.0, 202502.0)	(38.0, 602419.0)	(39.0, 4595513.0)	(40.0, 1626529.0)	
