Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	(1.0, 19.445950264834558)	(2.0, 16.57622513045096)	(3.0, 12.203845273815535)	(4.0, 8.191938996848716)	(5.0, 5.641129060424744)	(6.0, 3.8260879782865813)	(7.0, 2.7794460654291337)	(8.0, 2.0552330232935065)	(9.0, 1.5686532236101138)	('>10', 14.196901010861632)	('>50', 2.78643338673985)	('>100', 4.064275658468153)	('>500', 1.8853739799007556)	('>1k', 3.964250010321856)	('>5k', 0.814256936713895)	('>10k+', 0.0)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	(1.0, 9.299041462087333)	(2.0, 8.815928246478165)	(3.0, 9.265337594085816)	(4.0, 8.485958014079698)	(5.0, 7.147266405904189)	(6.0, 5.761250314859987)	(7.0, 4.488238203267776)	(8.0, 3.517725152964309)	(9.0, 2.9227202587186687)	('>10', 21.625871614942195)	('>50', 4.704563581644244)	('>100', 5.634110090371102)	('>500', 1.4259672480163839)	('>1k', 4.377804207217043)	('>5k', 1.4162242015777489)	('>10k+', 1.1119934037853716)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	(1.0, 9.045963694436688)	(2.0, 8.874133621502464)	(3.0, 9.25199362195209)	(4.0, 8.438698833446738)	(5.0, 7.21050914130886)	(6.0, 5.986697427512665)	(7.0, 4.52310444482236)	(8.0, 3.6207298337575757)	(9.0, 2.829457035450323)	('>10', 21.746092413641033)	('>50', 4.57941859727996)	('>100', 5.4299999814476765)	('>500', 1.4799984867218288)	('>1k', 4.460461300073391)	('>5k', 1.34242009085223)	('>10k+', 1.1803214757941443)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	(1.0, 15.024331515006642)	(2.0, 7.932418800428552)	(3.0, 5.350685166862503)	(4.0, 3.9373760748219464)	(5.0, 3.0637107097441163)	(6.0, 2.46091483003596)	(7.0, 2.082041356742447)	(8.0, 1.7895458757084914)	(9.0, 1.5179092432940209)	('>10', 19.678435018581812)	('>50', 6.90758831738252)	('>100', 11.671504632226842)	('>500', 2.5783431153275536)	('>1k', 4.639493872508906)	('>5k', 2.887446417614389)	('>10k+', 8.47825505371319)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	(1.0, 15.388923659141508)	(2.0, 7.964076001983819)	(3.0, 5.545366588425042)	(4.0, 3.9203003254822537)	(5.0, 3.0747797432138118)	(6.0, 2.4946944014986605)	(7.0, 2.041869050692629)	(8.0, 1.750089423059869)	(9.0, 1.5312466992437248)	('>10', 19.77343300662242)	('>50', 6.800872430462592)	('>100', 11.189862534750647)	('>500', 2.4378349170491407)	('>1k', 4.7085908327070385)	('>5k', 2.580029350766402)	('>10k+', 8.798031034900571)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	(1.0, 25.357070470138854)	(2.0, 10.84050374113751)	(3.0, 6.6281991251048815)	(4.0, 4.3897183669463296)	(5.0, 3.3145111663641056)	(6.0, 2.526868653669565)	(7.0, 2.119817521392615)	(8.0, 1.7257369637597826)	(9.0, 1.4440984131446784)	('>10', 17.010338698794598)	('>50', 5.167331899518321)	('>100', 7.463072728197948)	('>500', 1.6063156112049355)	('>1k', 4.0261020027952155)	('>5k', 2.3829049232645225)	('>10k+', 3.9974097145663112)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	(1.0, 24.812213049247877)	(2.0, 10.9002874870844)	(3.0, 6.548629713937233)	(4.0, 4.580930161840052)	(5.0, 3.2819148339878415)	(6.0, 2.5043758202998196)	(7.0, 2.099864918322514)	(8.0, 1.6919507642780753)	(9.0, 1.4475817008365652)	('>10', 17.19160743166254)	('>50', 5.232235625997701)	('>100', 7.30803071125286)	('>500', 1.5778109413315047)	('>1k', 4.117533503011335)	('>5k', 2.598001085664729)	('>10k+', 4.107032251244976)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	(1.0, 24.706439324979442)	(2.0, 17.35447383907941)	(3.0, 11.324169793938466)	(4.0, 7.25718330430222)	(5.0, 4.785094410644771)	(6.0, 3.3358597166017536)	(7.0, 2.429318989787791)	(8.0, 1.8001780130708702)	(9.0, 1.4499459936818258)	('>10', 12.785082596893776)	('>50', 2.4847708404300706)	('>100', 3.631799596858692)	('>500', 2.07092196429354)	('>1k', 4.14187988115714)	('>5k', 0.4428817342803568)	('>10k+', 0.0)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	(1.0, 24.2176314923803)	(2.0, 17.74068178288041)	(3.0, 11.46659607109209)	(4.0, 7.2996905663375715)	(5.0, 4.825130321611644)	(6.0, 3.4078541071274766)	(7.0, 2.3665715505407476)	(8.0, 1.8134176652256446)	(9.0, 1.4884922807013927)	('>10', 12.643615234906571)	('>50', 2.4382080593053224)	('>100', 3.7681049359243484)	('>500', 2.0193900281917534)	('>1k', 3.756819674856604)	('>5k', 0.7477962289180373)	('>10k+', 0.0)
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1	(1.0, 13.943406223821182)	(2.0, 11.937860423235414)	(3.0, 10.346036179109891)	(4.0, 8.316375762754301)	(5.0, 6.272001516951921)	(6.0, 4.814326378290408)	(7.0, 3.7212793114624656)	(8.0, 2.8710498671572724)	(9.0, 2.2666108903283275)	('>10', 18.707296211226097)	('>50', 3.96240988283211)	('>100', 4.743081894511942)	('>500', 1.3841483175987794)	('>1k', 4.374754773355192)	('>5k', 1.2472417702642091)	('>10k+', 1.092120597100388)
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_2	(1.0, 14.114535215347962)	(2.0, 12.043751519552151)	(3.0, 10.402778662827943)	(4.0, 8.475603351139828)	(5.0, 6.349313748718295)	(6.0, 4.848406786149114)	(7.0, 3.65794838526461)	(8.0, 2.8615798564642403)	(9.0, 2.3289857353750514)	('>10', 18.323465440759833)	('>50', 4.0307399329095785)	('>100', 4.482540563732309)	('>500', 1.3080843487221414)	('>1k', 4.429334689670984)	('>5k', 1.4024143638521633)	('>10k+', 0.9405173995138119)
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1	(1.0, 13.741972606612373)	(2.0, 11.584346967618792)	(3.0, 9.995590569134984)	(4.0, 8.215132908294558)	(5.0, 6.4347483877256515)	(6.0, 4.986812746115589)	(7.0, 3.947485977494848)	(8.0, 3.1536616294686377)	(9.0, 2.41339992054798)	('>10', 18.002473946092472)	('>50', 3.3088834828175324)	('>100', 4.179194009339427)	('>500', 2.3479156193652604)	('>1k', 5.4723132540228425)	('>5k', 2.021443605701866)	('>10k+', 0.19462436964722446)
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2	(1.0, 13.208724358482474)	(2.0, 11.500556849579361)	(3.0, 10.316899459256312)	(4.0, 8.34921058172243)	(5.0, 6.514039172235647)	(6.0, 5.166561218183408)	(7.0, 3.980609480185724)	(8.0, 3.1794050664796214)	(9.0, 2.5709202392817736)	('>10', 17.723236361019847)	('>50', 3.2181242999202055)	('>100', 4.1511661567347)	('>500', 2.422397635939348)	('>1k', 5.361222208809771)	('>5k', 1.7821108624547246)	('>10k+', 0.5548160497147829)
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1	(1.0, 8.272314881931807)	(2.0, 6.8358003706676636)	(3.0, 7.052865270207405)	(4.0, 6.867578517708806)	(5.0, 5.969076286117514)	(6.0, 5.333411824156453)	(7.0, 4.577968892849188)	(8.0, 3.925459814825446)	(9.0, 3.366363888753239)	('>10', 26.775563225618814)	('>50', 4.64642809536615)	('>100', 5.386771452770333)	('>500', 1.5205042444695283)	('>1k', 5.286454382912453)	('>5k', 2.086658312265687)	('>10k+', 2.0967805393795667)
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2	(1.0, 8.428271699351257)	(2.0, 6.951801309510766)	(3.0, 7.156344971968806)	(4.0, 6.885912019066049)	(5.0, 6.061335858461072)	(6.0, 5.462018595927979)	(7.0, 4.643977794572822)	(8.0, 3.982952566081277)	(9.0, 3.375227041823034)	('>10', 26.400659198367375)	('>50', 4.387383954254939)	('>100', 5.239293232451191)	('>500', 1.5933759999416663)	('>1k', 5.4213851529659625)	('>5k', 1.7537527167022053)	('>10k+', 2.2563078885536547)
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1	(1.0, 18.340975384277137)	(2.0, 9.693719216454493)	(3.0, 6.350495532237349)	(4.0, 4.72207592037786)	(5.0, 3.575393656734526)	(6.0, 2.8977878817361176)	(7.0, 2.3585580014905383)	(8.0, 1.9774446802410435)	(9.0, 1.7672218847415746)	('>10', 20.352502970708876)	('>50', 5.925404682502057)	('>100', 9.661770717645272)	('>500', 2.2278584137791557)	('>1k', 3.468282488688764)	('>5k', 1.86709619487442)	('>10k+', 4.813412373510998)
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2	(1.0, 18.365806810960667)	(2.0, 9.76883314681532)	(3.0, 6.480512554749858)	(4.0, 4.65360873539786)	(5.0, 3.5836348719652724)	(6.0, 2.8812149860911793)	(7.0, 2.405046356852954)	(8.0, 2.0449516635174056)	(9.0, 1.75284153168195)	('>10', 20.183841304670207)	('>50', 6.0386657125812215)	('>100', 9.51939555196686)	('>500', 2.182347043830675)	('>1k', 3.3674631747250126)	('>5k', 1.874529686295005)	('>10k+', 4.897306867898556)
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_1	(1.0, 18.748819098215783)	(2.0, 15.350764214237856)	(3.0, 11.962275053902664)	(4.0, 8.693325193833411)	(5.0, 5.997091445313239)	(6.0, 4.389415990936728)	(7.0, 3.1110330350999806)	(8.0, 2.337342942052017)	(9.0, 1.7974178054237189)	('>10', 14.533678311687959)	('>50', 2.625290659923432)	('>100', 3.4623398922392683)	('>500', 2.0357371744418082)	('>1k', 4.247687547569312)	('>5k', 0.7077816351227618)	('>10k+', 0.0)
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_2	(1.0, 17.894933412154227)	(2.0, 15.497010645237786)	(3.0, 12.26970004433495)	(4.0, 8.818396187172493)	(5.0, 6.192396083201602)	(6.0, 4.45207635155118)	(7.0, 3.2002191247271035)	(8.0, 2.3807110946962045)	(9.0, 1.7836685125722576)	('>10', 14.298787413624698)	('>50', 2.6526658040691733)	('>100', 3.5731366517171432)	('>500', 1.9615083753535305)	('>1k', 4.0509766081472955)	('>5k', 0.9738136914404014)	('>10k+', 0.0)
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_1	(1.0, 9.758298017129206)	(2.0, 8.637394086127406)	(3.0, 9.023391074852864)	(4.0, 8.220444795267767)	(5.0, 7.073639410761641)	(6.0, 5.7939335774608605)	(7.0, 4.710137064243539)	(8.0, 3.8451061456154108)	(9.0, 3.1155504330552257)	('>10', 22.560388174747136)	('>50', 4.32806402042452)	('>100', 4.73327003989503)	('>500', 1.311004920977423)	('>1k', 4.374683319731933)	('>5k', 1.4546700992851447)	('>10k+', 1.06002482042478)
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_2	(1.0, 9.662458056832303)	(2.0, 8.826478013675466)	(3.0, 9.08143993609166)	(4.0, 8.474420535733387)	(5.0, 7.208836345145539)	(6.0, 5.81370960636581)	(7.0, 4.966802262796239)	(8.0, 3.7990870212736247)	(9.0, 3.043310951757942)	('>10', 22.191827465158617)	('>50', 4.06473806948175)	('>100', 4.664410307876571)	('>500', 1.2743597275485272)	('>1k', 4.488383583449751)	('>5k', 1.3676398417145073)	('>10k+', 1.0720982750982406)
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1	(1.0, 16.86704243539273)	(2.0, 8.55427545045726)	(3.0, 5.923360911118781)	(4.0, 4.33901791827657)	(5.0, 3.516378925235035)	(6.0, 2.818807126722263)	(7.0, 2.424351312839589)	(8.0, 2.106934564267339)	(9.0, 1.7288376283091358)	('>10', 21.3454858229452)	('>50', 6.195035888010756)	('>100', 10.264146265625815)	('>500', 2.4081501545114476)	('>1k', 3.1595421690996592)	('>5k', 1.8121563062579855)	('>10k+', 6.536477120930556)
