Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	(1, 39.13830449421884)	(2, 39.344199600845)	(3, 39.50303898198653)	(4, 39.363842174127846)	(5, 39.328785474960455)	(6, 39.28511566602681)	(7, 39.35449433900983)	(8, 39.297202928052194)	(9, 39.31054471644923)	(10, 39.2414790913988)	(15, 39.536516845638666)	(20, 39.591514746178134)	(25, 39.47734460644642)	(30, 39.39150444629003)	(35, 39.43284270388543)	(40, 39.44630706095096)	(45, 39.41387525393516)	(50, 39.42250271487884)	(55, 39.43010746559923)	(60, 39.451356272099694)	(65, 39.44210072397913)	(70, 39.42999334283898)	(75, 39.41837946367109)	(80, 39.40585617304911)	(85, 39.39336687205788)	(90, 39.37234370177292)	(95, 39.35831477350718)	(100, 39.330400222752246)	(105, 39.31315649340996)	(110, 39.29039937129483)	(115, 39.27871957284303)	(120, 39.26206314312073)	(125, 39.23184876468292)	(130, 39.215662696517576)	(135, 39.16072913594582)	(140, 39.128964006354344)	(145, 39.096996243630805)	(150, 39.0678165232865)
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	(1, 38.45022802235625)	(2, 39.256993194863924)	(3, 39.49882117780594)	(4, 39.45034990436554)	(5, 39.515234392837044)	(6, 39.48829469215866)	(7, 39.56762408704367)	(8, 39.52380355641403)	(9, 39.57778321001506)	(10, 39.543566432389994)	(15, 39.602334709970606)	(20, 39.606314792733635)	(25, 39.51220540174198)	(30, 39.472995787689094)	(35, 39.48421421981953)	(40, 39.47952729006854)	(45, 39.47204709932835)	(50, 39.456445240816535)	(55, 39.44565343005157)	(60, 39.433160764430234)	(65, 39.41373084950387)	(70, 39.40395254772882)	(75, 39.37544286943896)	(80, 39.3552608566829)	(85, 39.33983931487891)	(90, 39.31158164051811)	(95, 39.279181625823604)	(100, 39.25652963123311)	(105, 39.23891352660272)	(110, 39.218712699384376)	(115, 39.185310711574644)	(120, 39.15320733365767)	(125, 39.122105791524085)	(130, 39.09858579102969)	(135, 39.0399060238209)	(140, 38.99761454591398)	(145, 38.94332053972787)	(150, 38.89980886840966)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	(1, 39.14951614113788)	(2, 39.084690586760225)	(3, 39.241348732854384)	(4, 38.804288740423466)	(5, 38.82594853169671)	(6, 38.78587227382034)	(7, 38.95182265108537)	(8, 38.79447344365628)	(9, 38.893222610716045)	(10, 38.77982183045004)	(15, 39.21114744467949)	(20, 39.30037702986847)	(25, 39.10806952559288)	(30, 39.04378656565371)	(35, 39.08962195063059)	(40, 39.10306354405692)	(45, 39.06961061091823)	(50, 39.07096973354061)	(55, 39.092087062864124)	(60, 39.0997554058889)	(65, 39.08098887750295)	(70, 39.06614043900546)	(75, 39.038635376444596)	(80, 39.0111398795717)	(85, 38.98192478467762)	(90, 38.94644633698739)	(95, 38.925294560588135)	(100, 38.8999948263142)	(105, 38.88615974129186)	(110, 38.87178948120121)	(115, 38.84457936510197)	(120, 38.807690574637505)	(125, 38.76367309433643)	(130, 38.73494240482058)	(135, 38.689144090196756)	(140, 38.647008586132365)	(145, 38.6028156907225)	(150, 38.54059717053045)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	(1, 37.846738070596764)	(2, 38.73113746032707)	(3, 39.14443321013425)	(4, 39.05803888425657)	(5, 39.18561998873713)	(6, 39.120950373621596)	(7, 39.260391076326044)	(8, 39.288609590821075)	(9, 39.29278086671625)	(10, 39.23384009177231)	(15, 39.33334690901421)	(20, 39.3441867413073)	(25, 39.19687586221196)	(30, 39.15570702258622)	(35, 39.14538066370373)	(40, 39.133515977911735)	(45, 39.092665111292874)	(50, 39.091307234064764)	(55, 39.05380205292647)	(60, 39.020384335298296)	(65, 38.97751145183096)	(70, 38.969012987276244)	(75, 38.91287254760834)	(80, 38.86901516671623)	(85, 38.819483054059184)	(90, 38.7890738115378)	(95, 38.733749635076286)	(100, 38.68330242260322)	(105, 38.636267908421914)	(110, 38.555635491908546)	(115, 38.50891243228749)	(120, 38.39885762897731)	(125, 38.243946055614416)	(130, 38.12678119038627)	(135, 38.08157600141127)	(140, 38.046009422202644)	(145, 37.99563007046878)	(150, 37.96795613774352)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	(1, 38.860125790490656)	(2, 39.20272435406588)	(3, 39.093394735295526)	(4, 38.88091959990427)	(5, 38.922641451037855)	(6, 38.71193637377978)	(7, 38.86627163991031)	(8, 38.837562136945145)	(9, 38.83592331510034)	(10, 38.794654130186025)	(15, 39.15950192591795)	(20, 39.24627214976837)	(25, 39.041954839683214)	(30, 38.98700779470258)	(35, 39.027197353831305)	(40, 39.03243819181433)	(45, 38.99285582923318)	(50, 38.99511873232701)	(55, 39.01616115773411)	(60, 39.02387694198477)	(65, 39.00533484339773)	(70, 38.99151995830827)	(75, 38.95585545636269)	(80, 38.93094619892655)	(85, 38.90300974350528)	(90, 38.8638840061672)	(95, 38.836460180125414)	(100, 38.80690952370723)	(105, 38.79385270607167)	(110, 38.77481215569033)	(115, 38.745521318232946)	(120, 38.70596860552991)	(125, 38.66283640032397)	(130, 38.63582663466955)	(135, 38.59385830755532)	(140, 38.55775652608289)	(145, 38.52268661600918)	(150, 38.46200593088513)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	(1, 38.218600815189745)	(2, 38.86102176037297)	(3, 39.11854849990048)	(4, 39.09875209697854)	(5, 39.13248287260774)	(6, 39.113347412656246)	(7, 39.14715533574889)	(8, 39.16329777372055)	(9, 39.1946545260884)	(10, 39.17355284372532)	(15, 39.21155280590059)	(20, 39.239749583185684)	(25, 39.063833389513135)	(30, 39.019038950721736)	(35, 38.98296115879343)	(40, 38.957748404734104)	(45, 38.916232037634906)	(50, 38.91799127800311)	(55, 38.87503717536707)	(60, 38.831803298150355)	(65, 38.78819490798386)	(70, 38.780088368085856)	(75, 38.71644999259422)	(80, 38.667881651832055)	(85, 38.61489188400927)	(90, 38.57781780909603)	(95, 38.5219518746954)	(100, 38.46827639325336)	(105, 38.41747689648809)	(110, 38.33426217559645)	(115, 38.284441766812805)	(120, 38.17154898383763)	(125, 38.01249282794754)	(130, 37.89723905438931)	(135, 37.861046343770646)	(140, 37.83704704120084)	(145, 37.80010717719384)	(150, 37.78618719607304)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	(1, 38.85974344373493)	(2, 39.08815019085871)	(3, 39.10934772851784)	(4, 38.9973214393407)	(5, 38.872896284968284)	(6, 38.79175781098734)	(7, 38.842159049140804)	(8, 38.863992803677384)	(9, 38.80437378471594)	(10, 38.7957267962081)	(15, 39.14360030699909)	(20, 39.208311320940375)	(25, 39.04826920696347)	(30, 39.04567314754683)	(35, 39.026858737888425)	(40, 39.0527799858943)	(45, 39.01651119283364)	(50, 39.012151082146374)	(55, 39.0070117676634)	(60, 39.03047166511453)	(65, 39.04816048764354)	(70, 39.05729721459908)	(75, 38.9942352732806)	(80, 38.961109069105895)	(85, 38.91473660354649)	(90, 38.912246317883714)	(95, 38.89099777876387)	(100, 38.94467646702204)	(105, 38.91668236577202)	(110, 38.858192527022716)	(115, 38.848607705829366)	(120, 38.82238429607002)	(125, 38.80171068827849)	(130, 38.800876204333406)	(135, 38.76120356845172)	(140, 38.71288880678547)	(145, 38.648208568931004)	(150, 38.67709333572026)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	(1, 38.37301867831689)	(2, 38.92227692256907)	(3, 39.147430279276485)	(4, 39.15320238260745)	(5, 39.120184745395804)	(6, 39.18338751524362)	(7, 39.24577593764541)	(8, 39.259752077290635)	(9, 39.40071595030373)	(10, 39.247231758280755)	(15, 39.23962879519365)	(20, 39.31345966256764)	(25, 39.147725661149444)	(30, 39.16273693873159)	(35, 39.16235153934393)	(40, 39.12167331006082)	(45, 39.09673090413007)	(50, 39.06664844732484)	(55, 39.015680060739605)	(60, 38.98387528574848)	(65, 38.97849166703169)	(70, 38.91935748570543)	(75, 38.907418649369085)	(80, 38.84466896344641)	(85, 38.823259865583154)	(90, 38.710208798735934)	(95, 38.61013992073634)	(100, 38.59482979516254)	(105, 38.66003208381659)	(110, 38.529739082519654)	(115, 38.48876520473906)	(120, 38.391050735471026)	(125, 38.24849105125602)	(130, 38.1952875640613)	(135, 38.17091300486463)	(140, 38.1876073814362)	(145, 38.137102108936425)	(150, 38.13766153795368)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	(1, 39.09121726959855)	(2, 39.357707884631395)	(3, 39.50761804217084)	(4, 39.36990983814093)	(5, 39.335701327038805)	(6, 39.25618784229714)	(7, 39.32214704642426)	(8, 39.29609281038597)	(9, 39.3035338654678)	(10, 39.25085475538648)	(15, 39.53558631256432)	(20, 39.590037867329606)	(25, 39.47893698592925)	(30, 39.39171898884633)	(35, 39.43230312841541)	(40, 39.445454284692296)	(45, 39.41435590886475)	(50, 39.420028612525094)	(55, 39.42538768545076)	(60, 39.448067460687234)	(65, 39.43882394366306)	(70, 39.42728832367411)	(75, 39.41662326619711)	(80, 39.40543179035426)	(85, 39.392309286914916)	(90, 39.37432857703466)	(95, 39.358023748054734)	(100, 39.32979605164519)	(105, 39.313134550655136)	(110, 39.29097747263677)	(115, 39.2792342746235)	(120, 39.26206111582026)	(125, 39.23328355781415)	(130, 39.21883936471945)	(135, 39.16415548629742)	(140, 39.133991924799325)	(145, 39.107708590098994)	(150, 39.07713954753635)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	(1, 38.59241571174005)	(2, 39.39145156236264)	(3, 39.508242264702915)	(4, 39.456917404319604)	(5, 39.51281431488321)	(6, 39.46833791680537)	(7, 39.53016571666282)	(8, 39.490491459733384)	(9, 39.54866509251781)	(10, 39.51398157690767)	(15, 39.57740339241534)	(20, 39.57930117775876)	(25, 39.478858407692975)	(30, 39.43973215178624)	(35, 39.447851075946616)	(40, 39.444451001244566)	(45, 39.43562648545504)	(50, 39.42007556100566)	(55, 39.40963550892819)	(60, 39.39592568433845)	(65, 39.374344019797746)	(70, 39.364899064643005)	(75, 39.33687373665096)	(80, 39.31416729318907)	(85, 39.29787790697223)	(90, 39.269387497532804)	(95, 39.23636404794512)	(100, 39.21146386385685)	(105, 39.19322130921451)	(110, 39.17242685347655)	(115, 39.13990346412496)	(120, 39.105281719567174)	(125, 39.073757148286035)	(130, 39.0526821800282)	(135, 38.99566551409284)	(140, 38.95950625331124)	(145, 38.908655777244654)	(150, 38.86297416143548)
