Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	(1, 0.1122344474264528)	(2, 0.26019234011054526)	(3, 1.7166480181470295e-05)	(4, 0.020994605261938172)	(5, 0.0064374300680513615)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.033224005743217606)	(15, 6.8665920725881175e-06)	(20, 0.03169275571103046)	(25, 7.209921676217524e-05)	(30, 0.04187934505071493)	(35, 0.03763579114985548)	(40, 0.0016720151696752068)	(45, 0.03260944575272097)	(50, 0.0004531950767908158)	(55, 0.02146496681891046)	(60, 0.00011673206523399802)	(65, 0.0010196889227793355)	(70, 0.0002952634591212891)	(75, 0.0005630605499522257)	(80, 0.0002540639066857604)	(85, 0.0002643637947946426)	(90, 0.006355030963180304)	(95, 0.0004531950767908158)	(100, 0.0007793582002387513)	(105, 0.0005287275895892852)	(110, 0.0005218609975166969)	(115, 0.0001510650255969386)	(120, 0.0003021300511938772)	(125, 0.024760931013752756)	(130, 6.8665920725881175e-06)	(135, 0.006701793862846003)	(140, 0.0005424607737344613)	(145, 0.02595915133041938)	(150, 0.00022316424235911385)
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	(1, 0.00926989929799396)	(2, 0.07383303126050374)	(3, 0.004119955243552871)	(4, 0.002094310582139376)	(5, 0.0005836603261699901)	(6, 0.0)	(7, 0.002145810022683787)	(8, 0.12670579021943226)	(9, 1.7166480181470295e-05)	(10, 0.007522351615520283)	(15, 0.00789314758744004)	(20, 0.0005836603261699901)	(25, 0.0001991311701050554)	(30, 0.0002403307225405841)	(35, 0.0005939602142788722)	(40, 0.00038452915606493457)	(45, 0.0006317264706781068)	(50, 0.0010917881395415107)	(55, 0.0004394618926456395)	(60, 0.0008651906011461029)	(65, 0.0007175588715854584)	(70, 0.00040169563624640494)	(75, 0.0008960902654727495)	(80, 0.0004772281490448742)	(85, 0.003944857145701875)	(90, 0.0007312920557306345)	(95, 0.01673731817693354)	(100, 0.008775504668767614)	(105, 0.0005149944054441089)	(110, 0.0001853979859598792)	(115, 0.0030281671040113603)	(120, 0.0002746636829035247)	(125, 0.00040512893228269894)	(130, 1.3733184145176235e-05)	(135, 0.0001270319533428802)	(140, 0.00020256446614134947)	(145, 0.0024754064421680165)	(150, 0.011827704845033033)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	(1, 7.286881407528713e-05)	(2, 0.08916493067757862)	(3, 0.006862917398363405)	(4, 0.04790793303567969)	(5, 0.0)	(6, 0.0)	(7, 3.9746625859247527e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.04071776841774181)	(30, 0.00016296116602291486)	(35, 0.00019740824176759606)	(40, 0.0)	(45, 0.0)	(50, 0.00011923987757774259)	(55, 4.769595103109703e-05)	(60, 7.419370160392872e-05)	(65, 3.974662585924753e-06)	(70, 0.00033784631980360395)	(75, 6.889415148936238e-05)	(80, 0.0)	(85, 0.0)	(90, 0.00017091049119476436)	(95, 0.00021330689211129507)	(100, 1.3248875286415841e-06)	(105, 0.00033917120733224554)	(110, 0.0)	(115, 0.0)	(120, 6.094482631751287e-05)	(125, 0.0)	(130, 1.3248875286415841e-06)	(135, 0.0)	(140, 0.0)	(145, 5.5645276202946534e-05)	(150, 0.0)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	(1, 0.1903532156775796)	(2, 0.19942207081113128)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012056476510638417)	(15, 0.0)	(20, 7.55185891325703e-05)	(25, 0.0)	(30, 1.9873312929623763e-05)	(35, 0.0)	(40, 0.0)	(45, 0.05069152173335566)	(50, 0.0002941250313584317)	(55, 0.0)	(60, 2.2523087986906932e-05)	(65, 0.03372501204157152)	(70, 0.000117914990049101)	(75, 0.024857539812373403)	(80, 0.03380847995587595)	(85, 0.04406973386520501)	(90, 0.0002928001438297901)	(95, 0.001172525462847802)	(100, 3.577196327332277e-05)	(105, 3.577196327332277e-05)	(110, 0.05447672540268466)	(115, 0.004104501563731628)	(120, 0.004401276370147343)	(125, 0.007035152777086813)	(130, 0.009196044336301236)	(135, 0.006393907213224286)	(140, 0.0037666552439280234)	(145, 0.005254503938592523)	(150, 0.0)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	(1, 0.00012305073919655304)	(2, 0.08719749881717477)	(3, 0.0068828163467985)	(4, 0.04815296426689459)	(5, 0.0)	(6, 2.6750160694902834e-06)	(7, 2.407514462541255e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.04091865080856507)	(30, 0.00013054078419112583)	(35, 0.0001877861280782179)	(40, 0.0)	(45, 0.0)	(50, 9.790558814334438e-05)	(55, 5.082530532031539e-05)	(60, 7.918047565691239e-05)	(65, 7.490044994572793e-06)	(70, 0.00031832691226934374)	(75, 6.206037281217458e-05)	(80, 0.0)	(85, 0.0)	(90, 0.00017387604451686844)	(95, 0.00019046114414770818)	(100, 2.6750160694902834e-06)	(105, 0.00029050674514664475)	(110, 5.350032138980567e-07)	(115, 0.0)	(120, 5.5105331031499834e-05)	(125, 0.0)	(130, 2.140012855592227e-06)	(135, 0.0)	(140, 0.0)	(145, 4.2800257111844534e-05)	(150, 0.0)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	(1, 0.19114862327756718)	(2, 0.19729046017311688)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012198073276875692)	(15, 5.350032138980567e-07)	(20, 5.778034710099013e-05)	(25, 5.350032138980567e-07)	(30, 2.0330122128126155e-05)	(35, 0.0)	(40, 0.0)	(45, 0.050641799217948355)	(50, 0.00024342646232361582)	(55, 5.350032138980567e-07)	(60, 2.7820167122698948e-05)	(65, 0.03402513439748861)	(70, 0.00011877071348536858)	(75, 0.02410831482467423)	(80, 0.03401336432678285)	(85, 0.044994305292040467)	(90, 0.00031297688013036314)	(95, 0.0011347418166777782)	(100, 4.012524104235425e-05)	(105, 5.18953117481115e-05)	(110, 0.05480733424135863)	(115, 0.004178375100543823)	(120, 0.004043554290641512)	(125, 0.007142292905539057)	(130, 0.009095054636266964)	(135, 0.0064221785796322725)	(140, 0.003916223525733775)	(145, 0.0050338452395668155)	(150, 0.0)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	(1, 0.0)	(2, 0.16438988375805985)	(3, 0.007163946779207604)	(4, 0.07066184457187404)	(5, 0.0)	(6, 0.024240612119099902)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0053324902920109775)	(15, 0.032087625511903195)	(20, 0.020607535697530995)	(25, 0.025611823908474152)	(30, 0.02555088116227974)	(35, 0.16558525033185229)	(40, 2.3488350095762638e-05)	(45, 0.0)	(50, 0.02562071139229417)	(55, 0.04867167032005734)	(60, 0.0018771635468424355)	(65, 0.0)	(70, 0.021630231157105956)	(75, 0.010423748880335744)	(80, 0.01771465971411504)	(85, 0.03478561167155161)	(90, 0.0013756555312842604)	(95, 0.03379402240534671)	(100, 1.5870506821461242e-05)	(105, 0.017147130390179583)	(110, 0.04995146799013997)	(115, 0.02511856855646314)	(120, 0.0)	(125, 0.02467165508437079)	(130, 0.0)	(135, 0.032314891169586524)	(140, 0.02483099497285826)	(145, 0.01681829348883891)	(150, 0.0)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	(1, 0.11215052350453801)	(2, 0.11311227621791857)	(3, 0.0)	(4, 0.04275831947838088)	(5, 0.17012865902470023)	(6, 0.0)	(7, 0.11636573011631812)	(8, 0.0)	(9, 0.0)	(10, 6.983023001442947e-06)	(15, 0.00017076665339892298)	(20, 4.443741910009147e-06)	(25, 8.82400179273245e-05)	(30, 0.0)	(35, 0.016766238226464517)	(40, 7.6178432743013966e-06)	(45, 6.983023001442947e-06)	(50, 6.348202728584497e-07)	(55, 7.744807328873086e-05)	(60, 0.0)	(65, 0.0001225203126616808)	(70, 0.07532650393683793)	(75, 0.006106971024898286)	(80, 0.03415523514060317)	(85, 0.0)	(90, 0.0010061901324806427)	(95, 0.002024441850145596)	(100, 0.08584166693646529)	(105, 0.015677521458512273)	(110, 0.039626751072370146)	(115, 0.011766393757431366)	(120, 0.004640536194595268)	(125, 0.02832314129385259)	(130, 0.01454055834982279)	(135, 0.013635304640726641)	(140, 0.006272659116114342)	(145, 0.04186512735446904)	(150, 0.0)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	(1, 0.12011554783899771)	(2, 0.25984464518313705)	(3, 1.5504782217503253e-05)	(4, 0.021241551637979462)	(5, 0.006325951144741328)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.03650756020933316)	(15, 3.1009564435006512e-06)	(20, 0.03606102248146907)	(25, 6.201912887001301e-05)	(30, 0.046477135175187756)	(35, 0.04223192580403537)	(40, 0.001776848042125873)	(45, 0.033133719598804456)	(50, 0.0005209606825081094)	(55, 0.024162652607757074)	(60, 0.00013644208351402867)	(65, 0.0010078108441377116)	(70, 0.00037211477322007813)	(75, 0.0006698065917961406)	(80, 0.0002914899056890612)	(85, 0.0003224994701240677)	(90, 0.007262439990678524)	(95, 0.00044653772786409376)	(100, 0.0008341572833016751)	(105, 0.0005581721598301172)	(110, 0.0005023549438471055)	(115, 0.00015504782217503257)	(120, 0.00034420616522857226)	(125, 0.025948803519213446)	(130, 2.790860799150586e-05)	(135, 0.007532223201263081)	(140, 0.000595383637152125)	(145, 0.023895970353616017)	(150, 0.00023257173326254882)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	(1, 0.009581955410417013)	(2, 0.0719111799247801)	(3, 0.0036281190388957616)	(4, 0.0019070882127529005)	(5, 0.0004031243376550846)	(6, 0.0)	(7, 0.0026203081947580504)	(8, 0.13152706755108012)	(9, 6.201912887001301e-05)	(10, 0.008512125437409288)	(15, 0.008564841696948797)	(20, 0.0005891817242651237)	(25, 0.00022636982037554755)	(30, 0.00031319660079356574)	(35, 0.0006356960709176335)	(40, 0.000471345379412099)	(45, 0.000728724764222653)	(50, 0.0011442529276517403)	(55, 0.0005364654647256127)	(60, 0.0010078108441377116)	(65, 0.0007845419802056648)	(70, 0.00045894155363809634)	(75, 0.0010729309294512253)	(80, 0.000471345379412099)	(85, 0.004077757723203356)	(90, 0.0007876429366491653)	(95, 0.01785530720167675)	(100, 0.008422197700547768)	(105, 0.0004899511180731029)	(110, 0.00022636982037554755)	(115, 0.002995523924421629)	(120, 0.00035040807811557355)	(125, 0.00042483103275958923)	(130, 2.790860799150586e-05)	(135, 0.00012093730129652539)	(140, 0.00018295643016653842)	(145, 0.002409443156600006)	(150, 0.013427141400357818)
