"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"h1SMcG00152294",0.0000000000000000000007747696308089,0.00285381062808203,0.111,0.056,0.0000000000000000377374791774399,"20","h1SMcG0015229"
"h1SMcG00112837",0.0000000000000000000011961333337985,0.00209111076745607,0.156,0.089,0.0000000000000000582612624226574,"20","h1SMcG0011283"
"h1SMcG00096215",0.00000000000000000000142140232114721,0.00246893796600312,0.125,0.066,0.0000000000000000692336642584384,"20","h1SMcG0009621"
"h1SMcG00017755",0.00000000000000000000859069075896215,0.00242269269782862,0.117,0.061,0.000000000000000418435365487528,"20","h1SMcG0001775"
"h1SMcG00215274",0.00000000000000000000934422880675081,0.0024744456036958,0.122,0.065,0.000000000000000455138696719218,"20","h1SMcG0021527"
"h1SMcG00185379",0.000000000000000000267210471649716,0.0019184596414606,0.159,0.095,0.0000000000000130152876531144,"20","h1SMcG0018537"
"h1SMcG00098477",0.000000000000000023866598001241,0.00184800726360301,0.139,0.081,0.00000000000116249425544445,"20","h1SMcG0009847"
"h1SMcG00141546",0.0000000000000000488489410182332,0.00240136538406325,0.104,0.056,0.0000000000023793342191161,"20","h1SMcG0014154"
"h1SMcG00117342",0.000000000000000487551478382193,0.00250476660011052,0.102,0.056,0.0000000000237476574090398,"20","h1SMcG0011734"
"h1SMcG00014501",0.000000000201323221272852,0.00180053946765349,0.104,0.066,0.00000980605146175809,"20","h1SMcG0001450"
"h1SMcG00048116",0.000000000464779219165492,0.000936393016307671,0.24,0.181,0.0000226384662071128,"20","h1SMcG0004811"
"h1SMcG00005886",0.000000000498440379533832,0.00129279594619193,0.154,0.107,0.0000242780340063339,"20","h1SMcG0000588"
"h1SMcG001698210",0.0000000073271633580288,0.000806325225847661,0.245,0.189,0.000356891472842867,"20","h1SMcG0016982"
"h1SMnG00350709",0.000000014260756420966,0.000426995693448571,0.284,0.223,0.000694612923752411,"20","h1SMnG0035070"
"h1SMcG00104127",0.0000000599020315386495,0.00112463370634577,0.145,0.104,0.00291770815218454,"20","h1SMcG0010412"
"h1SMcG00171599",0.000000321452915463124,0.00105857758694608,0.143,0.105,0.0156573286063779,"20","h1SMcG0017159"
"h1SMcG00168675",0.00000117565185933171,0.00100362406143759,0.124,0.09,0.0572636507643288,"20","h1SMcG0016867"
