cluster	broadtype	broadcol
1	neoblast	#a5a9ba
5	neoblast	#a5a9ba
2	early epidermal progenitors	#9ecae1
9	late epidermal progenitors	#56a0ce
11	epidermis	#2171b5
6	phagocytes	#228b22
10	basal/goblet	#869e42
12	muscle	#cd5555
3	muscle	#cd5555
0	neurons	#fec44f
4	parenchyma	#cd6889
8	protonephridia	#ffa0be
7	secretory	#9664c8
