	gfp(RNAi)	hnf4(RNAi)	hnf4+gfp(RNAi)	hnf4+foxf1(RNAi)	hnf4+nkx2(RNAi)
d0	4	5	7	7	6
d7	4	5	7	7	4
d12	4	5	7	5	0
d14	4	4	7	3	0
d16	4	4	7	2	0
d20	4	2	7	2	0
d27	4	1	7	1	0
