target_id	length	eff_length	est_counts	tpm
h1SMnT0035420.1	226	33.8695	0	0
h1SMnT0035096.1	559	297.899	0	0
h1SMcT0022872.1	985	723.369	0	0
h1SMcT0022814.1	2646	2384.36	0	0
h1SMcT0022815.1	2022	1760.36	10	0.276144
h1SMcT0022816.1	3124	2862.36	49.2243	0.835974
h1SMcT0022656.1	6668	6406.36	53.0793	0.402764
h1SMnT0034905.1	1057	795.36	0	0
h1SMcT0022657.2	3525	3263.36	303.997	4.52836
h1SMnT0034906.1	553	291.903	2	0.333065
h1SMnT0034907.1	1610	1348.36	16.525	0.595761
h1SMnT0034908.1	674	412.504	20.3815	2.40185
h1SMnT0034909.1	344	92.0235	0	0
h1SMnT0034910.1	874	612.386	0	0
h1SMcT0022658.1	895	633.378	0	0
h1SMnT0035333.1	518	257.174	0	0
h1SMcT0022983.2	1765	1503.36	292.874	9.47012
h1SMnT0035334.1	355	101.225	0	0
h1SMnT0035335.1	347	94.4631	0	0
h1SMcT0022982.1	1733	1471.36	0	0
h1SMnT0035165.1	414	155.504	0	0
h1SMnT0035166.1	311	67.1776	1	0.723624
h1SMcT0022650.1	3691	3429.36	0	0
h1SMcT0022651.1	3742	3480.36	0	0
h1SMnT0034903.1	1789	1527.36	0	0
h1SMcT0022652.1	16757	16495.4	1.00509	0.00296196
h1SMcT0022653.1	7978	7716.36	0	0
h1SMnT0034904.1	2408	2146.36	0	0
h1SMcT0022643.1	1273	1011.36	241.936	11.6287
h1SMcT0022644.1	746	484.415	0	0
h1SMcT0022645.1	752	490.415	0	0
h1SMcT0022646.1	812	550.408	0	0
h1SMcT0022878.1	3135	2873.36	58.4412	0.988704
h1SMnT0035197.1	681	419.499	4	0.463518
h1SMcT0022879.1	645	383.514	0	0
h1SMcT0022880.1	1003	741.36	18.5069	1.21351
h1SMnT0035198.1	3014	2752.36	156	2.75522
h1SMcT0022974.1	15547	15285.4	553.696	1.76089
h1SMnT0035321.1	630	368.542	0	0
h1SMnT0035305.1	1121	859.36	6906.61	390.685
h1SMnT0035306.1	1778	1516.36	3395.9	108.865
h1SMnT0035307.1	531	270.078	0	0
h1SMnT0035308.1	1309	1047.36	10219.2	474.307
h1SMnT0035309.1	1106	844.36	0	0
h1SMnT0035310.1	1917	1655.36	13600.6	399.395
h1SMnT0035311.1	1033	771.36	0.0911388	0.00574358
h1SMnT0035312.1	3291	3029.36	0	0
h1SMnT0035313.1	363	108.241	381.212	171.203
h1SMnT0035314.1	3292	3030.36	0	0
h1SMnT0035315.1	1694	1432.36	0	0
h1SMnT0035316.1	2161	1899.36	0	0
h1SMcT0022894.1	1956	1694.36	28	0.803321
h1SMnT0035285.1	673	411.504	0	0
h1SMnT0035286.1	153	36.0625	1.14677	1.54582
h1SMnT0035287.1	556	294.899	0	0
h1SMnT0035288.1	558	296.899	0	0
h1SMnT0035289.4	2122	1860.36	14.6294	0.382265
h1SMcT0022955.1	8642	8380.36	34.3845	0.199452
h1SMcT0023031.1	565	303.861	0	0
h1SMnT0035406.1	1639	1377.36	9.01906	0.31831
h1SMcT0023032.1	1505	1243.36	45.8562	1.79282
h1SMnT0035407.1	2457	2195.36	6.36529	0.140945
h1SMcT0022953.1	2474	2212.36	0	0
h1SMcT0022996.1	3781	3519.36	83.7237	1.15644
h1SMcT0022890.1	1269	1007.36	98.6327	4.75963
h1SMnT0035209.1	395	137.475	0	0
h1SMcT0022891.1	597	335.647	0	0
h1SMnT0035210.1	396	138.435	0	0
h1SMnT0035211.1	681	419.499	2	0.231759
h1SMcT0022866.1	913	651.378	26.9314	2.00985
h1SMcT0022973.1	3555	3293.36	275.193	4.06196
h1SMnT0035320.1	1153	891.36	6	0.327216
h1SMnT0035457.1	224	33.7787	0	0
h1SMcT0023053.1	1061	799.36	114.432	6.95895
h1SMnT0035458.1	385	128.111	3	1.13834
h1SMcT0023003.1	902	640.378	220	16.7003
h1SMnT0035361.1	949	687.378	2	0.14144
h1SMnT0035362.1	212	33.0979	0	0
h1SMcT0023004.1	713	451.45	0	0
h1SMcT0022831.1	1756	1494.36	0	0
h1SMnT0035146.1	130	36.7773	0	0
h1SMnT0035147.1	329	80.0169	0	0
h1SMnT0035148.1	441	181.594	0	0
h1SMcT0022832.1	1390	1128.36	222.161	9.57101
h1SMcT0022887.1	2842	2580.36	2.00051	0.0376875
h1SMnT0035207.1	381	124.462	0	0
h1SMnT0035182.2	1784	1522.36	7	0.223521
h1SMnT0035183.1	1315	1053.36	2.97845	0.137452
h1SMcT0022782.1	1579	1317.36	990.031	36.5327
h1SMcT0022783.1	924	662.378	18.3206	1.34453
h1SMnT0035061.1	497	236.411	0	0
h1SMcT0022784.1	1038	776.36	0	0
h1SMcT0023060.1	799	537.408	0	0
h1SMcT0022856.1	689	427.488	0	0
h1SMcT0022857.1	1071	809.36	0	0
h1SMcT0022920.1	6196	5934.36	310.384	2.54251
h1SMcT0022921.3	1402	1140.36	4.48895	0.191355
h1SMnT0035006.1	4147	3885.36	0	0
h1SMnT0035007.1	2193	1931.36	31	0.780253
h1SMnT0035344.1	214	33.117	0	0
h1SMnT0035122.1	651	389.509	43.6556	5.44828
h1SMnT0035425.1	499	238.387	0	0
h1SMnT0035426.1	325	76.9765	0	0
h1SMcT0023008.1	2256	1994.36	725.802	17.691
h1SMnT0035372.1	309	65.8462	0	0
h1SMnT0035373.2	2430	2168.36	117.712	2.63892
h1SMnT0035343.1	112	36.3053	0	0
h1SMnT0035317.1	961	699.378	2.13123	0.148134
h1SMcT0022971.1	1182	920.36	66.8118	3.52885
h1SMcT0022823.1	2805	2543.36	166.744	3.18698
h1SMnT0035111.1	308	65.1632	0	0
h1SMnT0035112.1	328	79.2509	0	0
h1SMnT0035113.2	311	67.1776	0	0
h1SMnT0035114.1	344	92.0235	0	0
h1SMcT0022964.1	936	674.378	81.1562	5.84999
h1SMnT0035299.1	1331	1069.36	1	0.0454583
h1SMnT0035300.1	364	109.134	1	0.445429
h1SMnT0035301.1	468	207.905	16	3.74104
h1SMnT0035302.1	423	164.142	8	2.36923
h1SMcT0022965.1	2342	2080.36	2.79254	0.0652526
h1SMcT0022819.1	1349	1087.36	0	0
h1SMcT0022820.1	936	674.378	0	0
h1SMcT0022821.1	419	160.29	0	0
h1SMcT0022822.1	1557	1295.36	465.5	17.4689
h1SMnT0035030.1	1039	777.36	0	0
h1SMcT0023066.1	1434	1172.36	0	0
h1SMcT0023067.1	862	600.401	2	0.161929
h1SMcT0023043.1	1562	1300.36	0	0
h1SMnT0035101.1	350	96.9784	1	0.501259
h1SMnT0035468.1	109	37	4	5.25527
h1SMnT0035469.1	545	283.989	13	2.22525
h1SMnT0035470.2	1927	1665.36	12.0648	0.352167
h1SMnT0035471.1	816	554.408	13	1.13986
h1SMnT0035472.1	1172	910.36	36.0532	1.92516
h1SMnT0035246.1	1140	878.36	0	0
h1SMcT0022926.1	1584	1322.36	0	0
h1SMcT0022927.1	1968	1706.36	0	0
h1SMcT0022928.1	780	518.408	0	0
h1SMnT0035247.1	2313	2051.36	4	0.0947884
h1SMcT0022929.1	1978	1716.36	0	0
h1SMnT0035248.1	2480	2218.36	0	0
h1SMcT0022930.1	1645	1383.36	0	0
h1SMnT0034948.1	1210	948.36	8.52326	0.436887
h1SMnT0034949.1	1289	1027.36	0	0
h1SMnT0035257.1	2784	2522.36	1.1613	0.0223808
h1SMcT0023023.3	2041	1779.36	1144.1	31.2563
h1SMnT0035401.1	394	136.546	1	0.356006
h1SMnT0035332.1	113	36.4396	0	0
h1SMcT0022767.1	2722	2460.36	136.992	2.70666
h1SMnT0035038.1	911	649.378	12	0.898298
h1SMnT0035102.1	814	552.408	0	0
h1SMnT0035103.1	354	100.344	0	0
h1SMcT0022809.1	2070	1808.36	3325.44	89.3926
h1SMcT0022810.1	1258	996.36	2	0.0975777
h1SMnT0034938.1	1253	991.36	7.78879e-05	3.81923e-06
h1SMnT0034939.1	367	111.782	0	0
h1SMnT0034940.1	538	277.027	114.837	20.1511
h1SMnT0034941.1	1358	1096.36	0	0
h1SMnT0034942.1	363	108.241	381.212	171.203
h1SMnT0034943.1	3291	3029.36	0	0
h1SMnT0034944.1	819	557.408	0	0
h1SMnT0034945.1	1777	1515.36	7076.68	227.013
h1SMnT0034946.1	565	303.861	0	0
h1SMnT0035409.1	285	51.7979	0	0
h1SMcT0023034.1	1780	1518.36	43.7235	1.39984
h1SMcT0023035.1	984	722.369	33.4617	2.25178
h1SMnT0035097.1	1121	859.36	10	0.565668
h1SMnT0035098.1	441	181.594	0	0
h1SMnT0035099.1	936	674.378	1	0.0720831
h1SMcT0022803.1	2566	2304.36	128	2.7002
h1SMnT0035100.1	1483	1221.36	20.0487	0.797955
h1SMcT0022963.1	675	413.504	4.51312	0.53056
h1SMnT0035385.1	469	208.902	0	0
h1SMnT0035392.1	1159	897.36	141.133	7.64536
h1SMcT0023020.1	1397	1135.36	13.7261	0.587691
h1SMcT0023073.1	1004	742.36	6.56163	0.429669
h1SMnT0035475.1	363	108.241	4.54955	2.04321
h1SMnT0035466.1	166	35.6484	0.119665	0.163179
h1SMcT0022905.1	925	663.378	4.51319	0.330719
h1SMnT0035225.1	548	286.935	0	0
h1SMcT0022907.1	1385	1123.36	6.70293	0.290057
h1SMcT0022989.1	1264	1002.36	34.2276	1.65993
h1SMnT0035355.1	320	73.3397	7.47522	4.95475
h1SMnT0035356.1	286	52.3027	1414.37	1314.55
h1SMnT0035357.1	450	190.351	296.809	75.7982
h1SMnT0035135.1	266	43.3141	0	0
h1SMnT0035172.1	307	64.4981	14.1933	10.6973
h1SMcT0022806.1	1059	797.36	0	0
h1SMcT0022807.1	3774	3512.36	4.27097	0.0591105
h1SMcT0022808.1	3496	3234.36	15.2542	0.229265
h1SMcT0022913.1	829	567.408	0	0
h1SMcT0022914.1	1915	1653.36	1	0.0294015
h1SMcT0022915.1	1230	968.36	0	0
h1SMnT0035233.1	829	567.408	124.156	10.6368
h1SMcT0022923.1	2315	2053.36	0	0
h1SMcT0022924.1	1422	1160.36	38.8542	1.62773
h1SMcT0023045.1	526	265.122	20.1519	3.69495
h1SMcT0023046.1	2603	2341.36	46.9768	0.975332
h1SMnT0035436.1	398	140.293	0	0
h1SMcT0022760.1	1564	1302.36	10.3362	0.385804
h1SMcT0022761.1	466	205.947	0	0
h1SMcT0022762.1	667	405.509	0	0
h1SMcT0022763.1	1224	962.36	0	0
h1SMcT0022764.1	1118	856.36	1	0.056765
h1SMcT0022765.1	3741	3479.36	0	0
