Motif	Factor	Evidence	Curated
MA0602.1_Arid5a	NO ORTHOLOGS FOUND	Orthologs	N
MA0004.1_Arnt	h1SMcG0020191	Orthologs	N
MA0259.1_ARNT::HIF1A	h1SMcG0023005	Orthologs	N
MA0259.1_ARNT::HIF1A	h1SMcG0004307	Orthologs	N
MA0259.1_ARNT::HIF1A	h1SMcG0020191	Orthologs	N
MA1464.1_ARNT2	h1SMcG0020191	Orthologs	N
MA0603.1_Arntl	h1SMcG0020191	Orthologs	N
MA0273.1_ARO80	NO ORTHOLOGS FOUND	Orthologs	N
MA0274.1_ARR1	h1SMcG0021492	Orthologs	N
MA0274.1_ARR1	h1SMcG0007883	Orthologs	N
MA0274.1_ARR1	h1SMnG0013228	Orthologs	N
MA0274.1_ARR1	h1SMcG0008063	Orthologs	N
MA0274.1_ARR1	h1SMcG0004481	Orthologs	N
MA0945.1_ARR1	h1SMcG0021492	Orthologs	N
MA0945.1_ARR1	h1SMcG0007883	Orthologs	N
MA0945.1_ARR1	h1SMnG0013228	Orthologs	N
MA0945.1_ARR1	h1SMcG0008063	Orthologs	N
MA0945.1_ARR1	h1SMcG0004481	Orthologs	N
MA0121.1_ARR10	NO ORTHOLOGS FOUND	Orthologs	N
MA0946.1_ARR11	NO ORTHOLOGS FOUND	Orthologs	N
MA0947.1_ARR14	NO ORTHOLOGS FOUND	Orthologs	N
MA0948.1_ARR18	NO ORTHOLOGS FOUND	Orthologs	N
MA0949.1_ARR2	h1SMcG0021492	Orthologs	N
MA0949.1_ARR2	h1SMcG0007883	Orthologs	N
MA0949.1_ARR2	h1SMnG0013228	Orthologs	N
MA0949.1_ARR2	h1SMcG0008063	Orthologs	N
MA0949.1_ARR2	h1SMcG0004481	Orthologs	N
MA0874.1_Arx	h1SMcG0020456	Orthologs	N
MA0874.1_Arx	h1SMcG0016366	Orthologs	N
MA0874.1_Arx	h1SMcG0006684	Orthologs	N
MA0874.1_Arx	h1SMcG0008475	Orthologs	N
MA0874.1_Arx	h1SMcG0015394	Orthologs	N
MA0874.1_Arx	h1SMcG0022016	Orthologs	N
MA0874.1_Arx	h1SMcG0007253	Orthologs	N
MA0874.1_Arx	h1SMcG0000761	Orthologs	N
MA0874.1_Arx	h1SMcG0002883	Orthologs	N
MA0874.1_Arx	h1SMcG0022849	Orthologs	N
MA0874.1_Arx	h1SMcG0003736	Orthologs	N
MA0874.1_Arx	h1SMcG0006514	Orthologs	N
MA0874.1_Arx	h1SMcG0012776	Orthologs	N
MA0874.1_Arx	h1SMcG0011515	Orthologs	N
MA1100.2_ASCL1	h1SMcG0018604	Orthologs	N
MA1100.2_ASCL1	h1SMcG0004451	Orthologs	N
MA1100.2_ASCL1	h1SMcG0007018	Orthologs	N
MA1100.2_ASCL1	h1SMcG0022832	Orthologs	N
