UniqueCount	AmbigCount
2	0
1	0
27	21
0	0
0	0
2	0
2	2
1	0
6	0
0	123131
0	6754
9	121547
0	25376
0	819
1	121749
0	21971
1	54
14	630
1	503
117	116
0	587
0	2
0	0
2	0
0	0
0	2457
0	2
0	0
0	0
1	197
0	0
0	0
0	0
0	0
5	6
0	0
0	0
22	0
0	0
0	0
0	0
1	0
572	0
3	0
1704	154
110	160
0	0
2	0
0	0
12	497
1	0
0	8479
0	2842
0	84165
1	1859
0	123125
0	3025
0	8239
0	9997
0	123090
0	28517
214	1742
8	239
14	0
2	1
2	2
3	17
0	0
38	9
0	22588
0	3059
35	786
27	3
2	163
0	393
4	258
0	8479
0	837
173	0
58	91
0	441
2	0
135	626
0	2
0	11
0	110
0	11
0	0
0	117
212	36
0	0
0	112
38	5336
0	0
356	5427
0	0
2	859
36	0
42	0
0	1
0	56
0	0
0	4
2	100
0	1300
0	21
4	0
0	168
0	0
0	0
0	0
296	584
22	1
9	0
1556	18644
0	0
0	0
0	0
1	28
0	0
0	0
1	295
0	0
0	807
0	123
1	3
12	3
4	11
21	1109
4	80
95	1131
0	0
8	0
4	2
0	17
35	17
0	294
0	0
126	663
0	0
0	0
0	549
0	0
1	0
0	0
0	1
0	0
0	2
0	0
0	0
10	691
0	0
0	0
0	0
27	1328
0	0
0	0
0	1239
52	0
174	6278
0	0
0	11640
0	22599
0	3799
0	39739
0	12059
0	24022
0	4314
0	123104
0	20542
0	80010
252	407
0	0
0	0
0	3
0	3
0	35
18	41
0	453
2	11
58	2129
29	343
0	0
78	379
12	611
5	241
1	0
6	2
0	10
19	143
199	1252
13	0
0	0
96	216
2	0
20	460
0	0
0	0
0	0
0	85
0	0
0	0
0	0
589	961
0	581
0	0
10	0
0	13
1487	1929
7	150
0	156
1	9
0	137
0	2
11	12
376	3966
0	181
0	7
0	7
0	0
153	191
0	0
0	0
0	5335
1	0
255	482
0	0
14	0
27	1306
69	602
0	329
0	332
0	284
0	332
47	286
0	0
0	1
3	0
2	0
0	0
0	0
0	0
0	1
1675	0
4	29
0	691
9	0
0	7
0	0
0	0
0	0
19	3
3	0
1	0
0	12
0	124
0	105
0	96
0	1
0	161
0	16
0	127
0	8
0	8
0	29
1048	2142
1	0
0	0
98	319
0	0
0	0
0	0
0	16051
3	17
0	13106
0	3058
0	3281
0	33372
0	6754
0	22593
0	811
0	0
33	270
36	82
1	0
0	0
12	50
110	0
1	0
0	2
0	0
172	15
3	824
4	32
5	1
0	0
22	340
1	1
1	526
30	45
2320	9025
0	15563
9	34634
0	0
30	42
1	1
0	68
3	15
0	0
0	1
0	0
179	707
0	1
44	132
1	151
10	673
0	0
2	3306
0	3
0	4
0	0
0	0
0	1
0	3
1	2498
0	51
0	1643
0	0
0	2460
10	8
0	2497
2	1364
0	0
0	2494
0	2491
0	100
0	10
0	0
70	246
0	0
1	250
0	742
0	1208
34	7106
23	21
71	955
0	0
25304	6935
39410	13663
767	3094
0	0
0	0
8	100
134	0
0	0
21	4
40	0
0	0
403	1230
108	472
6	57
0	0
23	5
1	38
66	1792
14	16560
0	0
24	25
1631	2355
0	0
8	142
31	8
0	0
0	49
0	166
2	0
0	3
0	0
0	0
287	1784
1	0
2	0
0	0
8	254
1	31051
10	29
0	23
0	4753
0	24022
0	39879
0	24550
76	1140
0	1
0	0
0	682
3	1144
2	0
0	22617
0	207
0	48027
0	21211
0	38817
0	735
0	123121
0	123055
22	184
0	0
0	0
972	1254
39	2
0	0
743	0
48	238
48	4525
0	32
5	0
1	0
41	4
0	284
16	843
2	1
140	710
5	2
0	0
0	70
0	0
0	0
0	0
11	31
0	0
0	0
0	21
0	6
0	4
0	21
4	18
0	21
0	0
0	2
0	1
13	167
0	7
0	0
248	4074
0	230
0	189
0	850
1	3
0	1470
0	0
0	0
0	335
139	3440
4	0
56	962
0	6
33	207
35	9
240	776
221	289
0	364
0	11
0	0
0	0
0	0
359	869
0	0
127	1380
34	0
0	0
72	158
288	0
0	164
389	0
6	0
1	0
0	71
0	235
0	1
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	124597
0	7
0	0
0	2
1	4
0	0
0	1642
1	0
1	0
0	0
2	59
0	0
0	0
70	1848
0	0
0	0
0	1
0	0
3	0
14	0
8	45
9	7
0	3866
4	2230
0	0
43	299
58	296
0	0
0	4637
0	2494
0	2489
0	0
0	2494
0	2489
0	1221
0	2494
0	2489
0	0
0	2
0	1
0	212
330	0
0	107
148	1568
0	2
2	0
11	1
0	1444
0	0
0	41493
1	23990
6	110544
240	1087
0	0
10	6430
0	808
0	101321
0	125
81	0
7	0
2	35
0	483
9	317
1	7
0	7
6	2
0	1
0	206
99	3975
0	0
0	0
263	1585
18	153
0	0
0	0
0	3734
0	807
0	117992
0	15188
0	808
0	954
2	0
0	2
0	4
22	0
3	48
2	21
0	0
0	0
2	1
0	0
0	9
3	197
0	0
2	0
0	0
1	13
3	31
1	0
5	0
0	5
0	0
2	0
45	199
0	0
0	0
0	0
1	0
0	0
0	85
0	4
0	131
0	3
0	2
0	1
0	0
0	110
0	2
1	0
0	3
1	3
0	0
0	0
12	15
0	0
0	2
0	3
0	8
0	3
0	23
0	2
0	2
1	1021
20	1245
605	747
0	0
0	33
91	904
1	4
0	0
1	2
0	0
1	2
0	1
62	84
10	0
0	0
21	1062
0	0
0	0
156	3061
0	0
0	0
26	659
0	0
0	0
231	1527
0	0
2	114
0	22
0	0
0	8
11	5
0	0
0	0
23	78
0	0
0	0
0	0
0	0
41	167
1	158
0	0
0	0
0	36847
5	0
4	0
0	168
7	0
3	0
0	0
60	1
3	0
0	3
115	1550
24	91
23	0
6	0
0	0
0	2
0	0
1	0
89	2043
3	4031
8	5
1	4
1	0
4	6
7	68
3	374
0	0
1	806
3	4017
16	8758
43	11
1	2
0	8472
64	0
2	0
0	0
0	157
0	194
0	1
0	60
0	0
0	2418
0	0
0	39
0	55
7211	18559
16	11239
22	66
32	0
10	10
36	10
0	0
0	1
0	0
0	0
0	33344
0	623
5	35016
0	414
0	72589
0	840
0	0
2	0
0	0
0	0
0	0
21	244
190	878
62	0
1	1
0	1
0	4
0	0
