UniqueCount	AmbigCount
1	0
1	0
17	42
0	0
0	0
3	0
0	0
0	0
8	0
0	96005
0	7817
0	94830
0	28538
0	658
0	95037
0	24681
0	38
11	630
0	528
130	77
4	558
4	4
0	0
9	0
0	0
0	2275
1	0
0	0
0	0
0	211
0	0
0	0
0	0
0	0
2	6
0	3
0	0
9	0
0	0
0	0
0	0
0	0
557	2
0	0
1706	187
114	197
0	0
0	0
0	0
19	501
0	0
0	5969
0	3309
0	67070
0	2087
0	95999
0	3502
0	5762
0	11239
0	95968
0	32077
252	1588
3	233
12	0
0	0
0	1
6	9
0	0
33	11
0	25442
0	3521
37	732
25	5
1	99
0	323
2	199
0	5969
0	671
174	0
107	155
0	450
1	0
113	627
0	5
0	11
1	104
0	7
0	0
0	146
188	38
0	0
1	96
85	4288
0	0
328	4840
0	0
3	902
18	0
40	0
0	0
3	62
0	0
0	14
0	79
0	1243
0	21
2	2
0	113
0	0
0	0
0	0
339	701
18	0
6	0
878	10525
0	0
0	0
0	0
0	19
0	2
0	0
14	417
0	0
0	644
0	154
1	2
5	3
7	21
20	986
5	67
84	1072
1	0
6	6
5	4
0	16
33	22
0	307
0	0
112	645
0	0
0	1
0	577
0	0
0	0
0	0
0	0
0	0
2	0
0	2
0	0
5	664
0	0
0	0
0	0
20	1389
0	0
0	0
0	1163
37	0
129	5580
0	0
0	13238
0	25446
0	2414
0	29902
0	13291
0	27239
0	4551
0	95986
0	23223
0	63349
229	406
0	0
0	0
0	1
0	1
0	28
12	31
0	319
0	8
44	1727
31	218
0	0
62	390
5	539
4	192
1	0
18	1
0	20
22	135
151	1035
7	0
0	0
122	185
2	0
16	349
0	0
0	0
0	0
1	70
0	0
0	0
0	0
580	964
1	463
0	0
6	0
1	13
1414	1665
5	107
0	115
0	9
0	93
0	0
8	9
274	3053
0	172
0	11
0	11
0	0
166	225
0	0
0	0
0	5275
0	0
234	330
0	0
6	1
10	1074
73	647
0	306
0	311
0	257
0	311
30	226
0	0
0	0
0	0
2	0
0	1
0	0
0	0
0	0
1628	0
1	6
0	721
4	0
0	9
0	0
0	0
0	0
29	2
2	0
3	0
0	4
0	114
0	106
0	90
0	0
0	165
1	5
0	117
0	15
0	15
0	27
998	2063
3	0
0	0
82	366
0	0
0	0
0	0
0	14997
1	21
0	14900
0	3520
0	3693
0	24597
0	7817
0	25443
0	648
0	0
38	300
47	61
0	0
0	0
11	46
99	0
5	0
0	1
0	0
252	6
5	792
5	44
5	2
0	0
11	286
1	9
2	403
29	59
1550	8578
0	17594
12	37501
0	0
18	94
0	0
0	41
0	9
0	0
0	0
0	0
161	703
0	0
22	105
3	113
26	791
0	0
2	3633
0	0
0	1
0	0
0	0
0	0
0	0
0	10955
2	226
0	1477
0	0
0	10777
9	12
0	10964
6	1226
0	0
0	10939
0	10930
0	67
0	8
0	0
54	215
2	0
0	327
2	612
0	1175
32	6834
26	14
56	923
0	0
22256	6502
37853	14840
662	2817
0	0
0	0
14	117
115	0
0	0
18	1
25	0
0	0
433	1319
119	490
6	55
0	0
16	5
0	32
79	1825
15	14519
0	0
11	17
1663	2179
0	0
24	151
32	7
0	0
0	40
0	113
2	0
0	2
0	0
0	0
290	1678
0	1
2	0
0	0
2	255
7	29353
20	26
0	16
0	3494
0	27239
0	29410
0	27661
74	963
0	1
0	0
0	671
4	919
3	0
0	25468
0	150
0	36569
0	23604
0	28474
0	579
0	95994
0	95943
23	215
0	1
8	0
825	1344
8	1
0	0
620	1
26	261
61	4516
0	59
3	0
1	0
22	5
0	257
4	1061
0	0
110	729
6	0
2	0
0	73
0	0
0	0
0	0
6	27
0	0
0	0
0	24
0	6
2	2
1	24
2	17
0	24
0	0
2	0
0	4
9	201
0	6
0	0
189	3331
1	249
0	154
0	838
0	0
0	1474
0	0
0	0
0	265
167	3319
1	0
76	908
0	4
18	197
25	6
266	784
246	263
0	358
0	8
0	0
0	0
0	0
327	913
0	0
147	1205
27	0
