homer_ID	cl	cl_name
DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)/Homer	c_34	Homeobox(DLX/En/LHX)
Dlx3(Homeobox)/Kerainocytes-Dlx3-ChIP-Seq(GSE89884)/Homer	c_34	Homeobox(DLX/En/LHX)
Emx2(Homeobox)/Cortex-Emx2-ChIP-Seq(GSE183130)/Homer	c_34	Homeobox(DLX/En/LHX)
En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	c_34	Homeobox(DLX/En/LHX)
Gsx2(Homeobox)/LGE-Gsx2.Flag-ChIP-Seq(GSE162589)/Homer	c_34	Homeobox(DLX/En/LHX)
Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer	c_34	Homeobox(DLX/En/LHX)
Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)/Homer	c_34	Homeobox(DLX/En/LHX)
Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)/Homer	c_34	Homeobox(DLX/En/LHX)
Lhx6/Neurons-Lhx6-ChIP-seq(GSE85704)/Homer	c_34	Homeobox(DLX/En/LHX)
LHX9(Homeobox)/Hct116-LHX9.V5-ChIP-Seq(GSE116822)/Homer	c_34	Homeobox(DLX/En/LHX)
Meis1(Homeobox)/MastCells-Meis1-ChIP-Seq(GSE48085)/Homer	c_82	Homeobox(Meis/Tgif)
Tgif1(Homeobox)/mES-Tgif1-ChIP-Seq(GSE55404)/Homer	c_82	Homeobox(Meis/Tgif)
Tgif2(Homeobox)/mES-Tgif2-ChIP-Seq(GSE55404)/Homer	c_82	Homeobox(Meis/Tgif)
Mixl1(Homeobox)/EpiBlast-Mixl1-ChIP-seq(GSE161164)/Homer	c_84	Homeobox(Mixl,Phox,Prop)
Phox2a(Homeobox)/Neuron-Phox2a-ChIP-Seq(GSE31456)/Homer	c_84	Homeobox(Mixl,Phox,Prop)
Prop1(Homeobox)/GHFT1-PROP1.biotin-ChIP-Seq(GSE77302)/Homer	c_84	Homeobox(Mixl,Phox,Prop)
Nanog(Homeobox)/mES-Nanog-ChIP-Seq(GSE11724)/Homer	c_87	Homeobox(Nanog)
Nkx6.1(Homeobox)/Islet-Nkx6.1-ChIP-Seq(GSE40975)/Homer	c_87	Homeobox(Nanog)
Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)/Homer	c_118	Homeobox(Six)
Six2(Homeobox)/NephronProgenitor-Six2-ChIP-Seq(GSE39837)/Homer	c_118	Homeobox(Six)
Six4(Homeobox)/MCF7-SIX4-ChIP-Seq(Encode)/Homer	c_118	Homeobox(Six)
Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)/Homer	c_24	Homeobox_1
HOXB13(Homeobox)/ProstateTumor-HOXB13-ChIP-Seq(GSE56288)/Homer	c_24	Homeobox_1
Hoxc13(Homeobox)/EB-Hoxc13.HA-ChIP-Seq(GSE142377)/Homer	c_24	Homeobox_1
Hoxd13(Homeobox)/ChickenMSG-Hoxd13.Flag-ChIP-Seq(GSE86088)/Homer	c_24	Homeobox_1
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer	c_25	Homeobox_2
Hoxa10(Homeobox)/ChickenMSG-Hoxa10.Flag-ChIP-Seq(GSE86088)/Homer	c_25	Homeobox_2
Hoxa11(Homeobox)/ChickenMSG-Hoxa11.Flag-ChIP-Seq(GSE86088)/Homer	c_25	Homeobox_2
Hoxa13(Homeobox)/ChickenMSG-Hoxa13.Flag-ChIP-Seq(GSE86088)/Homer	c_25	Homeobox_2
Hoxa9(Homeobox)/ChickenMSG-Hoxa9.Flag-ChIP-Seq(GSE86088)/Homer	c_25	Homeobox_2
Hoxd10(Homeobox)/ChickenMSG-Hoxd10.Flag-ChIP-Seq(GSE86088)/Homer	c_25	Homeobox_2
Hoxd11(Homeobox)/ChickenMSG-Hoxd11.Flag-ChIP-Seq(GSE86088)/Homer	c_25	Homeobox_2
Hoxd12(Homeobox)/ChickenMSG-Hoxd12.Flag-ChIP-Seq(GSE86088)/Homer	c_25	Homeobox_2
Unknown(Homeobox)/Limb-p300-ChIP-Seq/Homer	c_25	Homeobox_2
HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer	c_71	Homeobox_3
HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson_et_al.)/Homer	c_71	Homeobox_3
HOXA3(Homeobox)/mEmbryo-Hoxa3-ChIP-Seq(E-MTAB-8607)/Homer	c_71	Homeobox_3
Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer	c_71	Homeobox_3
Hoxc10(Homeobox)/EB-Hoxc10.iFlag-ChIP-Seq(GSE142377)/Homer	c_71	Homeobox_3
Hoxc6(Homeobox)/EB-Hoxc6.iFlag-ChIP-Seq(GSE142377)/Homer	c_71	Homeobox_3
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)/Homer	c_71	Homeobox_3
Hoxd9(Homeobox)/EB-Hoxd9.HA-ChIP-Seq(GSE142377)/Homer	c_71	Homeobox_3
PBX2(Homeobox)/K562-PBX2-ChIP-Seq(Encode)/Homer	c_71	Homeobox_3
Pdx1(Homeobox)/Islet-Pdx1-ChIP-Seq(SRA008281)/Homer	c_71	Homeobox_3
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477)/Homer	c_72	HSF(HRE)
HRE(HSF)/Striatum-HSF1-ChIP-Seq(GSE38000)/Homer	c_72	HSF(HRE)
AMYB(HTH)/Testes-AMYB-ChIP-Seq(GSE44588)/Homer	c_19	HTH (MYB)
BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)/Homer	c_19	HTH (MYB)
MYB(HTH)/ERMYB-Myb-ChIPSeq(GSE22095)/Homer	c_19	HTH (MYB)
RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer	c_113	HTH(Rfx)_1
Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	c_113	HTH(Rfx)_1
Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	c_113	HTH(Rfx)_1
X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	c_113	HTH(Rfx)_1
Rfx5(HTH)/GM12878-Rfx5-ChIP-Seq(GSE31477)/Homer	c_114	HTH(Rfx)_2
Rfx6(HTH)/Min6b1-Rfx6.HA-ChIP-Seq(GSE62844)/Homer	c_114	HTH(Rfx)_2
IRF1(IRF)/PBMC-IRF1-ChIP-Seq(GSE43036)/Homer	c_73	Iroquois
IRF2(IRF)/Erythroblas-IRF2-ChIP-Seq(GSE36985)/Homer	c_73	Iroquois
IRF3(IRF)/BMDM-Irf3-ChIP-Seq(GSE67343)/Homer	c_73	Iroquois
IRF8(IRF)/BMDM-IRF8-ChIP-Seq(GSE77884)/Homer	c_73	Iroquois
ISRE(IRF)/ThioMac-LPS-Expression(GSE23622)/Homer	c_73	Iroquois
PRDM1(Zf)/Hela-PRDM1-ChIP-Seq(GSE31477)/Homer	c_73	Iroquois
PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	c_73	Iroquois
PU.1:IRF8(ETS:IRF)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	c_73	Iroquois
T1ISRE(IRF)/ThioMac-Ifnb-Expression/Homer	c_73	Iroquois
IRF4(IRF)/GM12878-IRF4-ChIP-Seq(GSE32465)/Homer	c_74	Iroquois_ZBED2
ZBED2(Zf)/SUIT2-ZBED2.HA-ChIP-Seq(GSE141606)/Homer	c_74	Iroquois_ZBED2
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)/Homer	c_13	Isl
Isl1(Homeobox)/Neuron-Isl1-ChIP-Seq(GSE31456)/Homer	c_13	Isl
EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	c_47	KLF
KLF1(Zf)/HUDEP2-KLF1-CutnRun(GSE136251)/Homer	c_47	KLF
KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer	c_47	KLF
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer	c_47	KLF
Klf15(Zf)/Liver-Klf15-ChIP-Seq(GSE166083)/Homer	c_47	KLF
